,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.45,10.79,1.63,6.14,8.19,1.1,0.87,2.7,-2.18,6.21,8.29,7.69,50.89,0.76,0.14,0.52,0.7,0.53,0.47,2.17,61.42,17.85,13.38,10.15,15.12,8.08,12.2,0.8,16.7,17.42
2015,3.01,8.2,0.85,3.96,6.06,0.52,0.41,2.03,-0.99,5.12,7.83,5.61,54.33,-0.3,0.23,1.06,1.61,0.48,0.52,1.52,60.4,13.16,8.61,6.36,10.33,4.98,9.25,0.78,16.13,0.72
2016,2.29,11.95,1.06,5.5,9.4,0.64,0.49,2.24,-1.29,6.25,10.69,5.09,57.31,-1.28,0.18,0.92,1.58,0.47,0.53,1.63,60.36,11.65,6.82,5.36,8.78,4.11,6.94,0.77,14.22,-2.69
2017,1.16,16.42,2.33,7.88,10.54,1.45,1.17,4.23,-3.18,8.05,10.77,9.14,64.5,0.21,0.13,0.44,0.58,0.5,0.5,1.78,63.72,18.44,13.79,8.85,14.17,7.15,12.83,0.81,12.69,9.3
2018,3.54,8.21,2.06,5.96,7.19,1.41,0.97,3.93,-2.57,6.5,7.84,19.8,78.99,0.07,0.2,0.58,0.7,0.47,0.53,1.66,64.91,23.65,19.6,17.18,25.07,11.8,12.11,0.69,12.07,24.05
2019,4.24,20.38,2.31,10.84,14.96,1.55,0.96,3.89,-2.37,inf,inf,1.19,10.47,inf,0.24,1.13,1.56,0.41,0.59,1.71,63.1,14.27,10.34,7.59,11.34,4.7,8.54,0.62,10.55,4.3
2020,2.72,-274.11,1.48,26.04,-236.91,1.19,0.54,2.06,-1.45,inf,inf,-0.05,10.07,inf,0.14,2.47,-22.5,0.36,0.64,1.71,50.61,4.58,-0.5,-0.43,-0.54,-0.2,-2.25,0.45,2.55,inf
2021,4.77,10.85,0.93,6.62,11.95,0.68,0.34,1.79,-0.87,inf,inf,0.91,10.55,inf,0.28,2.0,3.61,0.36,0.64,1.45,53.84,10.29,5.7,6.27,8.6,3.13,1.92,0.5,4.05,7.37
2022,2.15,62.62,0.62,4.38,8.98,0.38,0.21,0.84,-0.65,inf,inf,0.1,10.54,-0.71,0.32,2.24,4.59,0.35,0.65,1.62,58.18,8.79,4.29,0.61,0.99,0.34,2.85,0.56,5.59,-38.06
2023,1.87,41.3,0.41,2.89,5.92,0.25,0.14,0.55,-0.43,5.12,10.51,0.1,10.54,-0.47,0.32,2.24,4.59,0.35,0.65,1.62,58.18,8.79,4.29,0.61,0.99,0.34,2.85,0.56,5.59,-38.06
