,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,3.2,-0.19,inf,2.45,0.44,0.34,1.5,-1.28,inf,6.98,0.42,-7.09,0.05,inf,inf,4.44,-1.78,2.78,1.44,41.03,inf,18.15,13.87,-5.91,10.5,-18.66,0.76,3.62,15.26
2015,inf,6.24,-0.23,inf,5.51,0.66,0.38,1.24,-1.68,inf,12.8,0.26,-7.13,-0.17,inf,inf,6.47,-1.64,2.64,1.65,34.68,inf,12.03,10.62,-3.71,6.08,-9.32,0.57,-2.6,-2.21
2016,inf,10.88,-0.44,inf,12.49,1.34,0.62,1.65,-3.2,inf,inf,0.27,-6.85,2.76,inf,inf,5.72,-1.42,2.42,1.87,34.63,inf,10.76,12.35,-4.01,5.68,-8.21,0.46,-5.5,-12.32
2017,inf,-18.62,-0.32,inf,-28.2,1.07,0.44,1.16,-2.5,inf,-55.36,-0.12,-6.97,0.13,inf,inf,-15.2,-1.4,2.4,1.87,29.63,inf,-3.8,-5.76,-1.69,-2.37,4.55,0.41,-3.88,inf
2018,inf,3.19,-0.25,inf,2.77,0.83,0.32,0.84,-1.67,inf,4.85,0.5,-6.46,-0.01,inf,inf,1.36,-1.31,2.31,2.02,19.09,inf,30.01,26.04,-7.76,10.16,-19.18,0.39,-5.6,14.89
2019,inf,11.36,-0.38,inf,6.63,1.21,0.51,1.3,-2.58,inf,9.54,0.21,-6.35,inf,inf,inf,0.7,-1.34,2.34,1.93,21.78,inf,18.2,10.63,-3.32,4.45,-10.52,0.42,-8.09,-12.85
2020,inf,4.39,-0.35,inf,3.26,0.82,0.41,1.16,-2.32,inf,3.81,0.47,-5.88,inf,inf,inf,-0.1,-1.17,2.17,1.76,28.14,inf,25.23,18.71,-7.98,9.34,-17.58,0.5,0.12,12.13
2021,inf,2.88,-0.37,inf,2.54,0.55,0.38,1.12,-2.17,inf,3.53,0.67,-5.2,inf,inf,inf,-1.2,-1.03,2.03,1.7,28.86,inf,21.82,19.27,-12.96,13.29,-22.51,0.69,9.48,19.66
2022,inf,2.47,-0.24,inf,3.09,0.49,0.23,0.66,-1.48,inf,1.31,0.47,-4.74,-0.08,inf,inf,-3.93,-0.95,1.95,1.72,23.18,inf,15.74,19.68,-9.84,9.36,-11.26,0.48,2.91,inf
2023,inf,2.19,-0.22,inf,2.74,0.43,0.2,0.58,-1.32,inf,-0.39,0.47,-4.74,-0.07,inf,inf,-3.93,-0.95,1.95,1.72,23.18,inf,15.74,19.68,-9.84,9.36,-11.26,0.48,2.91,inf
