,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,0.06,-0.01,inf,-2.24,1.29,0.7,-0.6,-0.77,inf,inf,5.24,-21.83,0.0,inf,inf,-143.63,-49.57,50.57,0.07,100.0,inf,-57.82,inf,-23.99,inf,372.18,0.54,-13.17,inf
2015,inf,-18.62,-0.37,inf,-27.54,71.37,16.97,-20.77,-21.74,inf,inf,-0.44,-22.11,0.17,inf,inf,-66.87,-45.76,46.76,0.21,100.0,inf,-259.1,-383.28,-1.99,-91.13,13.52,0.24,-11.29,inf
2016,inf,21.0,-0.19,inf,12.42,23.58,7.59,-11.17,-8.63,inf,inf,0.2,-21.91,-0.14,inf,inf,59.14,-39.8,40.8,0.15,100.0,inf,189.93,112.28,-0.91,36.15,-16.33,0.32,-2.66,inf
2017,inf,-0.08,-0.01,inf,-0.64,1.75,0.52,-0.14,-0.59,inf,inf,-102.96,-760.3,0.0,inf,inf,-46.66,-45.12,46.12,0.03,100.0,inf,-273.14,inf,-13.54,-611.06,64.39,0.3,-8.18,inf
2018,inf,2.59,-0.01,inf,0.34,2.32,0.38,-0.09,-0.41,inf,inf,2.64,-757.66,-0.03,inf,inf,31.58,-42.63,43.63,0.01,100.0,inf,684.74,89.54,-0.35,14.83,-16.14,0.17,-15.63,inf
2019,inf,1.34,-0.01,6.22,6.22,4.19,0.47,-0.12,-0.49,inf,inf,6.74,-750.93,inf,inf,438.62,438.62,-38.79,39.79,0.01,100.0,67.33,67.33,312.65,-0.9,34.8,4.25,0.11,-21.42,-46.73
2020,inf,-0.02,-0.01,-0.02,-0.02,2.55,0.34,-0.07,-0.38,inf,inf,-337.35,inf,inf,inf,-1.89,-1.89,-47.1,48.1,0.02,100.0,inf,inf,inf,-31.0,inf,74.65,0.13,-2.24,inf
2021,inf,9.15,-0.01,1.75,1.75,1.55,0.4,-0.05,-0.43,inf,inf,0.87,inf,inf,inf,139.85,139.85,-54.54,55.54,0.01,100.0,88.69,88.69,16.93,-0.08,4.36,-1.01,0.26,-0.71,-31.99
2022,inf,-1.78,0.0,0.74,0.74,0.69,0.19,-0.03,-0.22,119.23,119.23,-2.35,inf,0.02,inf,113.02,113.02,-49.56,50.56,0.02,100.0,92.5,92.5,-38.58,-0.22,-10.66,-1.24,0.28,-0.71,inf
2023,inf,-1.67,0.0,0.7,0.7,0.65,0.18,-0.02,-0.2,119.2,119.2,-2.35,inf,0.02,inf,113.02,113.02,-49.56,50.56,0.02,100.0,92.5,92.5,-38.58,-0.22,-10.66,-1.24,0.28,-0.71,inf
