,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.38,10.45,3.1,8.42,9.33,1.99,2.33,4.77,-7.94,8.02,8.89,1.94,6.54,48.49,-0.15,-0.4,-0.44,0.75,0.25,3.23,43.72,23.59,21.29,19.0,29.63,22.27,25.88,1.17,18.41,18.32
2015,5.76,8.86,2.12,9.48,11.55,1.57,1.69,3.54,-4.91,9.07,11.05,1.72,7.17,-0.75,-0.09,-0.41,-0.5,0.8,0.2,3.68,39.5,16.54,13.58,17.7,23.95,19.09,16.14,1.08,9.41,5.81
2016,6.74,12.22,2.02,11.74,16.15,1.65,1.59,3.3,-4.74,10.89,14.98,1.24,7.5,-0.42,-0.15,-0.85,-1.17,0.79,0.21,3.69,39.46,14.07,10.23,13.52,16.49,13.04,12.05,0.96,1.74,-7.67
2017,6.28,15.66,3.35,15.83,20.68,2.64,2.69,5.63,-7.97,15.36,20.07,1.64,7.65,0.49,-0.1,-0.47,-0.61,0.8,0.2,3.56,44.17,16.7,12.79,16.88,21.39,17.15,14.65,1.02,0.93,-3.24
2018,2.33,19.76,3.58,18.23,23.91,3.07,2.78,5.74,-9.19,17.0,22.29,1.48,8.16,-2.15,-0.24,-1.23,-1.62,0.77,0.23,3.26,42.61,16.86,12.86,15.56,18.14,14.05,14.67,0.9,-1.73,-5.52
2019,3.11,25.7,3.87,20.85,31.31,3.56,3.05,6.21,-9.23,19.72,29.61,1.32,8.8,inf,-0.21,-1.13,-1.7,0.79,0.21,3.73,43.81,17.08,11.38,13.86,15.05,11.85,11.43,0.86,-1.59,-7.61
2020,2.56,8.14,1.72,16.42,34.38,2.6,1.19,3.51,-3.06,15.38,32.21,2.11,9.98,inf,-0.11,-1.04,-2.17,0.69,0.31,2.25,39.09,15.84,7.56,31.95,21.14,14.65,0.15,0.46,-7.54,4.05
2021,0.28,101.99,3.57,77.71,-707.65,4.18,2.48,7.5,-5.59,78.37,-713.65,0.37,10.49,-1.23,0.03,0.66,-5.99,0.69,0.31,2.47,40.58,5.38,-0.59,4.1,3.51,2.43,-7.32,0.59,-7.54,-26.63
2022,inf,101.99,3.57,77.71,-707.65,4.18,2.48,7.5,-5.59,78.37,-713.65,0.37,10.49,-1.23,0.03,0.66,-5.99,0.69,0.31,2.47,40.58,5.38,-0.59,4.1,3.51,2.43,-7.32,0.59,-7.54,-26.63
2023,inf,101.99,3.57,77.71,-707.65,4.18,2.48,7.5,-5.59,78.37,-713.65,0.37,10.49,-1.23,0.03,0.66,-5.99,0.69,0.31,2.47,40.58,5.38,-0.59,4.1,3.51,2.43,-7.32,0.59,-7.54,-26.63
