,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,26.14,1.41,10.61,12.89,3.8,0.76,5.73,-1.16,13.61,16.53,0.64,11.83,0.46,0.4,3.0,3.64,0.54,0.46,1.61,75.57,35.82,29.5,14.55,5.39,2.9,6.1,0.2,7.08,6.63
2015,inf,24.51,1.71,12.5,15.53,4.64,0.87,2.14,-2.27,14.47,17.98,0.89,12.7,0.63,0.27,1.97,2.45,0.51,0.49,2.92,74.75,37.14,29.89,18.94,6.97,3.54,6.65,0.19,1.15,16.41
2016,1.91,14.03,1.88,10.6,16.08,5.12,1.44,4.58,-2.69,10.29,15.6,1.86,13.94,0.13,-0.06,-0.31,-0.47,0.77,0.23,3.07,74.19,48.27,31.83,36.48,13.37,10.25,8.68,0.28,-0.59,inf
2017,1.81,23.59,2.94,20.98,19.62,6.5,2.25,10.27,-3.67,20.18,18.87,1.53,12.24,-1.31,-0.11,-0.8,-0.75,0.76,0.24,2.3,73.52,31.0,33.14,27.57,12.47,9.53,12.61,0.35,-2.01,36.46
2018,6.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.13,-0.83,-0.88,0.78,0.22,3.07,71.56,34.92,33.02,30.33,13.66,10.7,12.85,0.35,-2.65,34.49
2019,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.1,-0.72,-0.78,0.73,0.27,3.0,63.3,35.48,32.95,35.33,13.36,9.77,9.86,0.28,3.54,23.65
2020,3.43,16.75,2.35,15.51,16.45,5.31,1.26,4.11,-2.32,16.06,17.03,2.04,14.59,inf,0.08,0.55,0.58,0.54,0.46,3.01,64.3,34.2,32.26,31.67,14.02,7.51,8.41,0.24,6.7,18.26
2021,4.36,13.46,1.82,9.93,9.1,3.02,0.9,4.82,-1.34,12.74,11.68,2.1,15.51,inf,0.52,2.81,2.58,0.5,0.5,2.34,64.05,30.38,33.15,22.4,13.54,6.71,11.29,0.3,12.96,2.46
2022,2.73,16.87,2.69,10.92,11.53,3.79,1.21,8.66,-1.88,13.5,14.25,2.68,16.82,0.61,0.63,2.57,2.72,0.45,0.55,1.63,63.1,34.73,32.9,22.48,15.94,7.14,11.78,0.32,16.61,11.95
2023,3.27,14.07,2.24,9.11,9.62,3.16,1.01,7.23,-1.57,11.69,12.34,2.68,16.82,0.51,0.63,2.57,2.72,0.45,0.55,1.63,63.1,34.73,32.9,22.48,15.92,7.14,11.78,0.32,16.61,11.95
