,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-1.67,-0.05,inf,1.01,4.14,0.17,-1.15,-0.17,inf,21.72,-1.65,-50.88,0.03,inf,inf,20.71,-3.07,4.07,0.04,63.4,inf,410.33,-247.97,-3.25,-9.97,46.92,0.04,16.09,inf
2015,inf,-0.41,-0.04,inf,-2.92,3.72,0.15,-0.92,-0.15,inf,-74.55,-6.19,-57.07,0.0,inf,inf,-71.63,-3.26,4.26,0.05,79.32,inf,-127.7,-903.95,-10.85,-35.32,-15.65,0.04,99.94,inf
2016,inf,-0.18,-0.02,inf,-2.04,2.05,0.07,-0.49,-0.07,inf,-106.27,-7.79,-64.86,-0.01,inf,inf,-104.23,-3.33,4.33,0.19,79.91,inf,-100.72,inf,-12.01,-39.99,-11.98,0.03,inf,inf
2017,inf,0.33,-0.02,inf,0.1,3.18,0.06,-0.19,-0.06,inf,5.71,3.52,-61.35,0.0,inf,inf,5.61,-3.15,4.15,0.01,77.42,inf,inf,973.09,-5.74,18.1,359.98,0.02,-20.8,inf
2018,inf,-0.29,-0.03,inf,-2.35,4.64,0.08,-0.27,-0.08,inf,-102.63,-5.77,-67.11,0.0,inf,inf,-100.28,-3.24,4.24,0.01,75.54,inf,-197.51,inf,-8.59,-27.8,-15.42,0.02,5.99,inf
2019,inf,-0.63,-0.05,inf,-6.94,7.7,0.16,-0.47,-0.17,inf,-167.46,-5.16,-72.27,inf,inf,inf,-160.52,-3.63,4.63,0.03,78.31,inf,-110.95,inf,-7.14,-25.91,-16.11,0.02,-8.75,inf
2020,inf,-1.47,-0.13,inf,-2.72,23.86,1.57,-0.13,-1.91,inf,-13.98,-6.78,-79.05,inf,inf,inf,-11.26,-12.4,13.4,0.01,88.51,inf,-877.03,inf,-8.58,-106.42,10.0,0.07,-9.35,inf
2021,inf,-0.59,-0.03,inf,-0.77,5.8,0.28,-0.08,-0.29,inf,-0.77,-43.31,-833.85,inf,inf,inf,inf,inf,inf,inf,100.0,inf,-756.72,-984.57,inf,inf,inf,inf,-7.98,inf
2022,inf,-1.06,-0.04,inf,-6.0,6.34,0.36,-0.09,-0.39,inf,-55.54,-32.05,-852.52,0.02,inf,inf,-49.54,-9.08,10.08,0.02,100.0,inf,-105.71,-597.93,-3.76,-34.13,0.99,0.06,-7.98,inf
2023,inf,0.31,-0.19,inf,0.28,16.68,0.57,-0.54,-1.18,inf,0.84,312.87,-520.56,0.0,inf,inf,0.56,-3.06,4.06,0.33,100.0,inf,inf,inf,-60.1,184.1,-146.75,0.03,-7.98,inf
