,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.39,18.95,1.75,inf,11.88,7.53,0.88,11.7,-1.08,inf,15.82,1.3,14.08,0.78,0.58,inf,3.93,0.51,0.49,1.73,68.82,inf,63.34,39.72,9.22,4.67,7.52,0.12,21.56,21.54
2015,1.07,17.48,1.27,inf,8.33,5.25,0.66,44.84,-0.75,inf,12.54,1.08,14.88,-1.05,0.64,inf,4.22,0.52,0.48,1.14,66.88,inf,63.02,30.03,7.27,3.78,7.5,0.13,19.27,4.75
2016,1.27,29.15,1.72,inf,11.41,7.05,0.9,14.42,-1.05,inf,15.57,0.91,15.49,-1.89,0.63,inf,4.17,0.52,0.48,1.76,68.85,inf,61.81,24.18,5.91,3.09,7.45,0.13,15.24,1.24
2017,1.73,31.89,2.53,inf,16.02,10.05,1.38,20.71,-1.58,inf,19.9,1.24,15.54,0.91,0.6,inf,3.88,0.55,0.45,2.05,69.36,inf,62.74,31.52,7.8,4.31,7.9,0.14,12.59,-4.05
2018,1.63,28.66,2.59,inf,16.37,10.18,1.39,12.44,-1.65,inf,19.91,1.45,16.06,1.64,0.56,inf,3.54,0.54,0.46,3.38,69.9,inf,62.21,35.53,9.04,4.85,7.46,0.14,11.49,6.78
2019,0.8,30.13,3.13,14.72,18.4,12.39,1.66,10.65,-2.08,16.94,21.17,1.76,16.92,inf,0.47,2.22,2.78,0.53,0.47,4.33,66.57,84.14,67.32,41.12,10.38,5.51,7.84,0.13,5.5,6.23
2020,1.13,32.44,2.09,13.0,18.27,9.71,0.96,6.34,-1.3,16.73,23.52,1.15,17.77,inf,0.6,3.73,5.25,0.46,0.54,2.33,59.26,74.71,53.14,29.94,6.44,2.95,4.39,0.1,1.21,1.14
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.94,19.25,inf,0.43,2.71,3.78,0.48,0.52,5.09,56.9,63.01,45.2,39.92,10.06,4.79,3.19,0.12,5.1,16.18
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.14,17.52,inf,0.65,3.07,4.08,0.48,0.52,1.4,57.98,64.92,48.94,-2.45,-0.8,-0.39,6.51,0.16,7.55,inf
2023,inf,-236.02,1.88,8.9,11.81,5.78,0.91,14.34,-1.18,11.98,15.89,-0.14,17.52,2.2,0.65,3.07,4.08,0.48,0.52,1.4,57.98,64.92,48.94,-2.45,-0.8,-0.39,6.51,0.16,7.55,inf
