,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.02,-0.02,inf,-0.03,0.03,0.01,-0.01,-0.01,inf,-2.72,-7.81,-10.65,0.0,inf,inf,-2.69,-0.41,1.41,0.22,-23.81,inf,-102.49,-129.96,-73.35,-30.14,-112.31,0.23,-12.35,inf
2015,inf,-0.09,-0.05,inf,-0.08,0.04,0.01,-0.02,-0.01,inf,-2.62,-2.02,-3.39,0.0,inf,inf,-2.53,-0.15,1.15,0.4,37.98,inf,-50.95,-46.12,-59.52,-9.1,-158.15,0.2,-20.56,inf
2016,inf,-0.48,-0.32,inf,-0.76,4.46,0.16,-0.22,-0.22,inf,-2.29,-6.2,-9.39,0.0,inf,inf,-1.44,-0.5,1.5,0.29,29.56,inf,-587.99,-927.65,-66.02,-32.76,111.55,0.04,-46.26,inf
2017,inf,-0.91,-0.23,inf,-2.04,7.38,0.16,-0.19,-0.23,inf,-6.54,-3.12,-12.46,0.02,inf,inf,-4.49,-0.71,1.71,0.24,20.21,inf,-362.37,-806.63,-25.01,-17.75,22.95,0.02,-49.45,inf
2018,inf,-1.66,-0.33,inf,-2.19,10.86,0.36,-0.33,-0.43,inf,-4.81,-3.1,-15.41,2.65,inf,inf,-2.55,-1.08,2.08,0.13,57.92,inf,-494.8,-652.89,-20.1,-21.66,25.23,0.03,-46.05,inf
2019,inf,-0.14,-0.03,-0.21,-0.2,4.77,0.04,-0.03,-0.05,-2.39,-2.25,-58.23,-252.97,inf,inf,-2.18,-2.06,-1.43,2.43,0.12,15.22,inf,inf,inf,-23.02,-32.96,23.55,0.01,-53.72,inf
2020,inf,-0.18,-0.03,-0.3,-0.27,11.24,0.05,-0.04,-0.08,-3.37,-3.0,-59.49,-313.28,inf,inf,-3.06,-2.72,-1.58,2.58,0.22,31.17,inf,inf,inf,-18.99,-29.99,19.57,0.0,-55.72,inf
2021,inf,0.19,-0.2,0.18,0.18,10.25,0.17,-0.28,-0.18,0.76,0.77,7.72,-7.56,inf,inf,0.59,0.59,-0.84,1.84,0.12,35.2,inf,inf,inf,-102.09,85.4,-339.0,0.02,-18.75,inf
2022,inf,0.17,-0.14,0.14,0.14,7.6,0.12,-0.19,-0.13,0.84,0.85,5.96,-7.18,0.0,inf,0.68,0.69,-0.88,1.88,0.1,33.29,inf,inf,inf,-83.05,72.91,-274.55,0.02,-18.75,inf
2023,inf,0.14,-0.12,0.12,0.12,6.4,0.1,-0.16,-0.11,0.82,0.83,5.95,-7.16,0.0,inf,0.68,0.69,-0.88,1.88,0.1,33.29,inf,inf,inf,-83.05,72.91,-274.55,0.02,-18.75,inf
