,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.23,0.77,0.92,14.63,inf,9.04,20.1,20.36,4.76,inf,0.24,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.22,0.78,0.85,15.56,inf,5.89,20.39,24.06,5.32,inf,0.26,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.24,0.76,0.78,17.81,inf,10.19,20.47,25.54,6.23,inf,0.3,inf,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.25,0.75,0.86,18.8,inf,12.34,19.53,25.83,6.45,inf,0.33,inf,inf
2018,2.63,21.37,6.51,inf,25.42,4.52,1.63,-80.35,-4.82,inf,25.42,3.91,12.82,inf,inf,inf,inf,0.25,0.75,0.97,23.14,inf,17.77,21.14,30.46,7.65,inf,0.36,inf,inf
2019,6.52,10.04,3.08,inf,16.94,1.84,0.69,-9.01,-1.87,inf,16.94,3.88,12.64,inf,inf,inf,inf,0.23,0.77,0.89,10.46,inf,10.85,18.31,30.67,6.91,inf,0.38,17.17,15.0
2020,0.38,-6.82,2.35,inf,-5.71,1.22,0.45,-7.39,-1.39,inf,-5.71,-1.2,3.48,inf,inf,inf,inf,0.19,0.81,0.92,-18.47,inf,-21.42,-17.94,-35.74,-6.7,inf,0.37,17.75,inf
2021,inf,-7.47,1.4,inf,-2.54,0.64,0.22,-1.52,-0.59,inf,-2.54,-0.54,2.87,inf,inf,inf,inf,0.16,0.84,0.81,-19.74,inf,-25.11,-8.55,-18.78,-3.01,inf,0.35,13.98,inf
2022,inf,-3.37,0.52,inf,-1.18,0.3,0.09,-0.56,-0.23,inf,-1.18,-0.26,1.65,0.44,inf,inf,inf,0.18,0.82,0.78,-20.42,inf,-25.47,-8.94,-15.47,-2.74,inf,0.31,8.26,inf
2023,inf,-2.9,0.45,inf,-1.02,0.26,0.08,-0.48,-0.2,inf,-1.02,-7.66,49.52,0.38,inf,inf,inf,0.18,0.82,0.78,-20.42,inf,-25.47,-8.94,-15.47,-2.74,inf,0.31,8.26,inf
