,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-4.66,1.65,-3.87,-3.45,1.77,0.62,5.73,-0.98,-4.83,-4.31,-3.45,9.76,0.05,0.41,-0.96,-0.86,0.38,0.62,1.43,-8.46,-45.87,-51.36,-38.04,-35.38,-13.35,-32.18,0.35,-40.15,inf
2015,inf,-8.71,2.18,-5.63,-4.79,5.91,0.77,4.93,-1.8,-4.32,-3.68,-1.72,6.88,0.17,-0.51,1.31,1.11,0.35,0.65,1.37,-20.1,-104.92,-123.34,-67.9,-25.04,-8.81,-25.88,0.13,-55.18,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-1.32,5.03,inf,0.52,-1.06,-0.92,0.41,0.59,1.56,-15.82,-352.16,-405.52,-187.57,-26.22,-10.82,-35.76,0.06,-65.2,inf
2017,inf,-7.64,5.13,-1.89,-1.81,96.07,2.35,24.65,-2.94,-1.82,-1.75,-2.04,3.05,-0.14,-0.19,0.07,0.07,0.46,0.54,1.89,6.28,inf,inf,inf,-67.12,-30.71,-405.65,0.02,-69.67,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.64,2.41,inf,-0.71,0.74,0.65,0.47,0.53,5.75,-97.78,inf,inf,inf,-26.56,-12.54,-121.16,0.01,-75.29,inf
2019,inf,inf,22.04,inf,inf,inf,9.22,25.42,25.42,inf,inf,-1.14,1.82,inf,-1.02,inf,inf,0.42,0.58,5.23,-121.18,inf,inf,inf,-62.76,-0.26,inf,0.0,-66.88,inf
2020,inf,-35.12,22.04,-15.15,-13.85,inf,9.22,25.42,-16.7,-14.45,-13.21,-1.14,1.82,1.36,-1.02,0.7,0.64,0.42,0.58,5.23,-121.18,inf,inf,inf,-62.76,-26.24,-174.07,0.0,-75.29,inf
2021,inf,-35.12,22.04,-15.15,-13.85,inf,9.22,25.42,-16.7,-14.45,-13.21,-1.14,1.82,1.36,-1.02,0.7,0.64,0.42,0.58,5.23,-121.18,inf,inf,inf,-62.76,-26.24,-174.07,0.0,-75.29,inf
2022,inf,-35.12,22.04,-15.15,-13.85,inf,9.22,25.42,-16.7,-14.45,-13.21,-1.14,1.82,1.36,-1.02,0.7,0.64,0.42,0.58,5.23,-121.18,inf,inf,inf,-62.76,-26.24,-174.07,0.0,-75.29,inf
2023,inf,-35.12,22.04,-15.15,-13.85,inf,9.22,25.42,-16.7,-14.45,-13.21,-1.14,1.82,1.36,-1.02,0.7,0.64,0.42,0.58,5.23,-121.18,inf,inf,inf,-62.76,-26.24,-174.07,0.0,-75.29,inf
