,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.89,7.25,1.46,inf,6.89,11.43,1.18,24.62,-1.33,inf,7.08,1.29,6.42,0.19,0.02,inf,0.1,0.81,0.13,1.72,24.98,inf,165.76,157.56,20.17,16.28,18.16,0.1,3.15,12.64
2015,7.75,5.24,1.04,inf,5.13,9.52,0.85,15.87,-0.95,inf,5.24,1.31,6.64,0.43,0.01,inf,0.07,0.82,0.13,1.98,23.62,inf,185.63,181.54,19.77,16.17,17.76,0.09,-1.39,14.96
2016,6.07,7.49,1.29,inf,7.48,13.13,1.04,20.26,-1.18,inf,7.51,1.11,6.42,-1.01,0.02,inf,0.12,0.81,0.14,1.81,22.32,inf,175.55,175.19,17.2,13.91,14.8,0.08,-2.33,11.16
2017,3.52,10.0,1.57,inf,9.78,16.38,1.27,32.61,-1.39,inf,9.93,1.08,6.9,-12.25,0.04,inf,0.25,0.81,0.14,1.76,26.06,inf,167.5,163.9,15.3,12.42,13.4,0.08,0.35,12.4
2018,7.87,9.57,1.64,inf,9.09,16.8,1.36,22.89,-1.51,inf,9.5,1.26,7.38,0.6,0.01,inf,0.06,0.83,0.12,2.66,25.38,inf,184.69,175.55,17.11,14.25,15.8,0.08,0.32,10.61
2019,8.45,11.49,2.15,10.11,10.78,23.66,1.76,31.15,-1.94,10.15,10.82,1.23,6.57,inf,0.01,0.05,0.05,0.82,0.14,2.48,25.76,234.03,219.53,205.91,18.67,15.28,17.33,0.07,-0.05,5.44
2020,5.5,13.98,1.72,11.81,12.77,16.78,1.36,22.97,-1.53,12.19,13.17,0.84,6.82,inf,0.02,0.16,0.17,0.79,0.16,2.15,31.5,142.02,131.36,120.0,12.3,9.72,11.36,0.08,3.78,-4.47
2021,4.41,6.46,1.2,5.71,6.02,9.65,0.92,19.99,-1.03,6.04,6.37,1.38,7.46,inf,0.05,0.25,0.27,0.77,0.19,1.68,35.18,169.14,160.31,149.33,18.52,14.19,16.64,0.1,11.75,8.24
2022,7.22,6.04,1.08,5.03,5.3,9.73,0.85,19.05,-0.97,5.45,5.74,1.41,7.89,0.5,0.08,0.34,0.36,0.75,0.21,1.59,33.88,193.54,183.47,161.14,18.78,14.15,17.12,0.09,11.3,10.92
2023,5.7,5.83,1.04,4.86,5.12,9.4,0.83,18.4,-0.94,5.22,5.5,1.41,7.89,0.48,0.07,0.34,0.36,0.79,0.21,1.59,33.88,193.54,183.47,161.14,17.87,14.15,17.12,0.09,11.3,10.92
