,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.46,24.3,0.45,inf,4.22,1.73,0.17,1.76,-0.23,inf,12.95,0.1,5.25,-0.28,0.92,inf,8.72,0.39,0.61,1.77,49.06,inf,40.91,7.11,1.84,0.72,3.84,0.1,3.43,-23.06
2015,inf,6.15,0.25,inf,1.45,1.06,0.1,3.17,-0.14,inf,5.22,0.21,5.04,0.04,0.65,inf,3.77,0.4,0.59,1.19,43.1,inf,72.63,17.18,4.11,1.65,7.6,0.1,-3.73,-12.6
2016,inf,-2.85,0.34,inf,-4.11,1.92,0.16,1.34,-0.21,inf,-11.78,-0.5,4.2,0.01,0.63,inf,-7.67,0.46,0.53,1.95,39.25,inf,-46.74,-67.57,-11.9,-5.48,-6.35,0.08,-15.79,inf
2017,inf,-40.61,0.43,inf,4.84,2.58,0.21,-30.73,-0.22,inf,11.71,-0.04,4.04,0.44,0.62,inf,6.87,0.48,0.52,0.91,41.37,inf,53.38,-6.37,-1.07,-0.51,3.51,0.08,-16.91,inf
2018,inf,5.54,0.45,inf,3.08,2.08,0.21,-43.79,-0.24,inf,5.99,0.35,4.23,-0.01,0.43,inf,2.91,0.46,0.53,0.97,50.19,inf,67.65,37.54,8.18,3.79,9.04,0.1,-6.26,-10.6
2019,2.8,11.73,1.25,5.94,6.19,5.94,0.65,7.55,-0.77,6.99,7.28,0.61,5.69,inf,0.22,1.05,1.1,0.52,0.48,2.16,48.75,99.89,95.95,50.6,10.69,5.52,10.91,0.11,1.62,50.46
2020,1.87,8.34,1.43,6.39,6.58,4.59,0.74,6.87,-0.99,7.01,7.22,0.94,5.45,inf,0.14,0.63,0.64,0.51,0.47,1.72,69.23,71.82,69.73,54.99,17.17,8.84,13.05,0.16,13.16,42.81
2021,7.06,3.82,0.86,3.27,3.44,1.91,0.46,3.2,-0.6,4.2,4.43,1.46,6.51,inf,0.25,0.94,0.99,0.53,0.46,2.42,69.44,58.4,55.47,49.99,22.48,11.93,16.85,0.24,39.13,inf
2022,4.16,5.51,0.66,3.58,3.82,1.79,0.33,1.37,-0.48,5.82,6.22,0.91,7.6,-0.14,0.44,2.24,2.39,0.47,0.5,4.21,59.65,50.08,46.91,32.54,12.65,6.0,9.87,0.18,39.82,inf
2023,5.19,3.83,0.49,2.64,2.82,1.32,0.24,1.01,-0.36,4.88,5.21,0.97,7.6,-0.11,0.41,2.24,2.39,0.5,0.5,4.21,59.65,50.08,46.91,34.51,12.72,6.36,9.87,0.18,39.82,inf
