,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.16,9.28,0.46,inf,2.56,0.19,0.14,0.45,-0.34,inf,7.3,1.94,39.4,1.34,0.99,inf,5.58,0.3,0.59,2.02,30.75,inf,7.23,2.0,4.92,1.47,4.83,0.73,8.57,21.33
2015,3.53,7.53,0.42,inf,2.08,0.17,0.12,0.52,-0.31,inf,6.94,2.28,41.13,0.42,1.11,inf,5.54,0.28,0.62,1.55,32.88,inf,8.28,2.29,5.55,1.54,4.97,0.67,8.96,14.74
2016,4.77,6.89,0.46,inf,1.86,0.18,0.13,0.45,-0.36,inf,inf,2.9,43.23,0.26,0.42,inf,1.7,0.27,0.63,1.78,33.27,inf,9.69,2.62,6.71,1.84,5.68,0.7,9.72,10.44
2017,3.62,13.87,0.56,inf,4.0,0.25,0.16,0.45,-0.46,inf,3.12,1.81,44.55,-0.37,-0.12,inf,-0.87,0.28,0.63,2.1,29.13,inf,6.21,1.79,4.06,1.12,3.85,0.62,2.82,-10.63
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.28,46.19,inf,0.88,inf,6.83,0.27,0.64,2.25,29.92,inf,5.72,2.18,4.94,1.33,3.81,0.61,2.31,4.67
2019,3.1,22.78,0.49,5.44,8.32,0.2,0.14,0.41,-0.36,18.01,27.57,1.01,47.14,inf,1.05,11.64,17.82,0.28,0.63,2.12,27.48,3.67,2.4,0.88,2.14,0.59,0.78,0.68,3.46,-12.24
2020,0.99,10.66,0.65,2.53,2.89,0.22,0.17,0.58,-0.5,6.29,7.19,3.01,49.29,inf,0.91,3.54,4.04,0.26,0.66,1.76,27.37,8.58,7.51,2.03,6.1,1.57,3.94,0.77,8.16,5.65
2021,2.69,12.05,0.68,3.67,4.43,0.18,0.17,0.44,-0.58,8.34,10.05,2.91,51.37,inf,0.99,5.31,6.4,0.25,0.67,2.21,19.84,5.03,4.18,1.54,5.66,1.4,3.43,0.91,11.31,0.03
2022,2.43,12.96,0.53,2.71,3.04,0.17,0.16,0.53,-0.62,6.07,6.82,2.89,70.97,-19.63,1.15,4.43,4.98,0.23,0.69,1.73,21.36,6.45,5.74,1.35,5.4,1.27,5.96,0.94,16.21,9.78
2023,2.43,12.96,0.53,2.71,3.04,0.17,0.16,0.53,-0.62,6.01,6.75,2.89,70.97,-19.63,0.86,4.43,4.98,0.31,0.69,1.73,21.36,6.45,5.74,1.35,4.07,1.27,5.96,0.94,16.21,9.78
