,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.95,9.93,2.59,8.18,9.18,1.45,1.55,7.63,-3.0,8.13,9.12,5.07,19.43,0.09,-0.02,-0.05,-0.06,0.6,0.4,1.72,24.06,17.77,15.83,14.65,26.08,15.6,22.87,1.06,33.66,inf
2015,8.4,68.34,0.87,14.79,115.01,0.6,0.54,3.03,-1.0,15.6,121.36,0.24,18.68,-0.72,0.05,0.82,6.36,0.62,0.38,1.63,12.86,4.08,0.52,0.88,1.27,0.79,-1.34,0.89,14.02,-24.49
2016,0.57,-21.41,1.01,-20.3,-9.74,1.0,0.62,4.41,-1.06,-20.11,-9.64,-0.84,17.82,0.05,-0.01,0.2,0.09,0.61,0.39,1.52,6.88,-4.91,-10.23,-4.65,-4.72,-2.9,-11.1,0.62,2.4,inf
2017,inf,-15.0,1.18,-40.31,-13.04,0.89,0.72,6.64,-1.25,-39.15,-12.67,-1.3,16.55,-0.27,-0.03,1.16,0.38,0.61,0.39,1.34,8.37,-2.2,-6.81,-5.92,-7.87,-4.78,-8.22,0.81,6.38,inf
2018,inf,47.49,0.89,8.11,18.7,0.68,0.56,3.51,-1.01,8.45,19.49,0.31,16.76,-0.38,0.04,0.34,0.79,0.63,0.37,1.55,14.46,8.4,3.64,1.43,1.87,1.17,2.76,0.82,-0.63,-33.19
2019,1.18,20.62,1.66,9.3,14.78,1.33,1.15,6.13,-2.08,8.87,14.09,1.43,17.76,inf,-0.08,-0.44,-0.69,0.69,0.31,1.71,24.88,14.28,8.99,6.44,8.04,5.56,8.32,0.86,-8.42,-22.3
2020,1.44,14.78,1.93,9.19,12.43,1.49,1.05,6.51,-2.51,6.76,9.15,2.57,19.67,inf,-0.51,-2.43,-3.29,0.55,0.45,1.39,24.21,16.2,11.98,10.08,13.07,7.13,11.01,0.71,-1.0,61.09
2021,4.28,7.68,2.57,5.09,5.8,0.97,1.17,9.22,-3.0,4.79,5.45,5.09,15.21,inf,-0.15,-0.3,-0.34,0.45,0.55,1.26,27.03,19.02,16.71,12.61,33.5,15.18,29.17,1.2,20.87,inf
2022,18.28,4.73,3.03,3.3,3.49,1.0,1.42,5.35,-5.01,2.99,3.17,4.26,6.65,0.03,-0.28,-0.3,-0.32,0.47,0.53,1.59,36.48,30.2,28.54,21.07,64.04,30.03,49.59,1.43,25.71,inf
2023,11.41,4.17,2.67,2.91,3.07,0.88,1.25,4.71,-4.41,2.6,2.75,4.26,6.65,0.03,-0.28,-0.3,-0.32,0.47,0.53,1.59,36.48,30.2,28.54,21.07,64.04,30.03,49.59,1.43,25.71,inf
