,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.61,21.24,2.2,7.85,9.13,3.17,0.73,2.88,-1.17,9.63,11.2,0.15,1.49,0.14,0.74,2.65,3.08,0.33,0.67,3.14,45.86,40.41,34.73,14.92,10.35,3.45,7.63,0.23,10.58,34.04
2015,0.97,-32.08,7.51,22.27,26.95,7.07,1.53,7.29,-2.29,19.16,23.19,-0.27,1.13,0.12,2.32,6.87,8.32,0.2,0.8,2.74,39.42,31.74,26.23,-22.03,-23.41,-4.77,3.41,0.22,9.2,inf
2016,1.61,11.56,4.04,13.36,20.52,4.05,0.98,4.93,-1.48,13.41,20.58,0.52,1.5,-0.04,1.69,5.59,8.59,0.24,0.76,2.4,33.8,30.27,19.72,35.0,34.96,8.47,2.6,0.24,12.76,68.5
2017,1.76,44.92,3.3,9.39,15.4,2.85,0.78,2.97,-1.28,10.97,18.0,0.11,1.53,-0.57,1.56,4.43,7.27,0.24,0.76,3.15,32.67,30.4,18.54,6.36,7.36,1.74,4.65,0.27,15.0,-6.68
2018,4.72,172.78,3.77,5.93,7.96,2.37,0.8,3.32,-1.27,7.39,9.91,0.03,1.16,-2.33,1.97,3.1,4.16,0.21,0.78,2.93,42.95,39.95,29.79,1.37,2.18,0.46,10.5,0.34,16.84,-13.88
2019,4.04,34.1,3.81,6.31,9.12,2.24,0.66,2.18,-1.1,9.38,13.57,0.12,1.12,inf,2.37,3.93,5.68,0.17,0.81,4.4,33.3,35.58,24.6,6.58,11.18,1.95,7.77,0.3,15.98,-1.54
2020,0.08,-12.17,7.95,6.91,9.42,2.53,0.86,4.22,-1.24,11.31,15.41,-0.44,0.68,inf,5.19,4.52,6.15,0.11,0.88,2.98,39.52,36.65,26.9,-20.82,-65.29,-7.05,5.83,0.34,16.01,inf
2021,1.3,10.47,5.51,4.86,5.74,1.92,0.75,3.8,-1.12,7.64,9.03,0.54,1.02,inf,3.64,3.21,3.8,0.14,0.83,2.49,45.77,39.5,33.41,18.32,52.61,7.18,12.34,0.39,18.37,4.0
2022,7.49,4.83,1.96,2.82,3.38,1.13,0.48,3.75,-0.65,5.42,6.5,0.84,2.06,0.09,2.2,2.62,3.14,0.2,0.76,1.94,47.5,40.02,33.4,23.42,49.08,9.86,12.22,0.42,19.06,54.55
2023,8.13,4.36,1.77,2.55,3.06,1.02,0.43,3.38,-0.58,5.16,6.18,0.84,2.06,0.09,1.82,2.62,3.14,0.24,0.76,1.94,47.5,40.02,33.4,23.42,40.56,9.86,12.22,0.42,19.06,54.55
