,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,10.51,5.24,0.96,1.94,2.52,0.38,0.25,113.88,-0.33,5.33,6.93,3.25,17.79,0.41,1.67,3.39,4.41,0.27,0.73,inf,20.7,19.48,14.97,7.2,18.27,4.86,10.82,0.67,8.19,2.4
2015,7.8,53.36,0.55,2.06,2.06,0.19,0.14,-4.77,-0.18,9.27,9.27,0.19,17.97,-0.57,1.92,7.21,7.21,0.25,0.75,inf,17.64,8.97,8.97,0.35,1.03,0.25,7.94,0.73,10.89,-41.97
2016,0.28,-11.31,1.06,6.88,6.88,0.37,0.25,-2.81,-0.33,19.05,19.05,-1.53,16.45,0.01,1.87,12.17,12.17,0.23,0.77,inf,16.62,5.33,5.33,-3.24,-9.33,-2.18,4.71,0.67,6.79,inf
2017,inf,27.4,0.99,2.01,2.9,0.3,0.23,-2.51,-0.31,6.18,8.91,0.61,16.83,-0.2,2.06,4.17,6.02,0.23,0.77,0.75,21.61,14.97,10.38,1.1,3.62,0.83,9.23,0.76,9.52,-21.77
2018,0.88,20.3,0.99,2.23,3.5,0.28,0.19,9.43,-0.28,7.77,12.17,0.81,16.62,0.61,2.46,5.54,8.67,0.19,0.81,1.07,18.57,12.59,8.04,1.38,4.89,0.93,6.09,0.67,10.03,-22.35
2019,0.81,5.8,1.24,4.11,5.98,0.57,0.32,43.57,-0.42,7.89,11.49,4.1,19.23,inf,1.14,3.78,5.51,0.26,0.74,1.03,24.99,14.0,9.61,9.92,21.31,5.57,4.18,0.56,7.79,14.91
2020,inf,10.67,1.04,3.11,4.15,0.56,0.28,9.76,-0.4,5.89,7.85,2.28,23.28,inf,0.93,2.78,3.7,0.27,0.73,1.1,24.44,18.14,13.62,5.29,9.78,2.62,8.51,0.5,3.68,78.83
2021,3.75,11.0,0.5,2.4,3.83,0.29,0.15,1.66,-0.23,6.54,10.42,1.07,23.44,inf,0.86,4.14,6.59,0.31,0.69,1.39,16.25,12.23,7.67,2.67,4.56,1.41,2.81,0.53,9.08,inf
2022,5.48,-16.32,0.2,0.75,1.09,0.12,0.06,0.83,-0.09,3.99,5.82,-0.28,23.16,0.14,0.87,3.24,4.73,0.31,0.69,1.33,18.66,15.9,10.91,-0.73,-1.22,-0.38,7.91,0.52,9.08,inf
2023,10.4,-8.6,0.11,0.39,0.58,0.06,0.03,0.44,-0.05,3.64,5.3,-0.28,23.16,0.08,0.87,3.24,4.73,0.31,0.69,1.33,18.66,15.9,10.91,-0.73,-1.22,-0.38,7.91,0.52,9.08,inf
