,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.02,-291.5,0.72,inf,13.13,1.7,0.39,5.72,-0.55,inf,19.31,-0.03,10.48,inf,0.34,inf,6.18,0.53,0.47,1.29,66.15,inf,12.98,-0.58,-0.25,-0.13,3.19,0.23,23.42,inf
2015,inf,-37.59,0.37,inf,4.25,0.54,0.2,8.65,-0.27,inf,9.23,-0.05,4.98,-0.13,0.43,inf,4.97,0.55,0.45,1.1,58.13,inf,12.8,-1.45,-0.99,-0.54,4.45,0.37,27.62,inf
2016,inf,-17.94,0.66,inf,10.44,0.98,0.35,-5.49,-0.47,inf,16.65,-0.18,4.8,-0.07,0.39,inf,6.21,0.53,0.47,0.8,58.27,inf,9.41,-5.48,-3.67,-1.94,2.89,0.35,19.03,inf
2017,inf,27.04,5.3,inf,-258.08,9.1,3.08,-141.91,-4.07,inf,-272.08,1.2,6.14,-0.03,0.29,inf,-14.0,0.58,0.42,0.92,57.44,inf,-3.53,33.65,19.59,11.39,-21.38,0.34,14.47,inf
2018,3.49,13.37,0.62,inf,5.05,1.11,0.37,-8.71,-0.48,inf,8.2,2.01,43.14,-0.18,0.39,inf,3.15,0.6,0.4,0.83,63.69,inf,22.02,8.32,4.65,2.79,7.43,0.34,11.76,inf
2019,2.8,-4.55,0.38,9.92,-10.1,0.92,0.2,-5.73,-0.27,21.27,-21.66,-3.74,44.23,inf,0.44,11.35,-11.56,0.53,0.47,0.87,47.52,9.27,-9.1,-20.23,-8.46,-4.5,-4.17,0.22,4.5,inf
2020,inf,-0.17,1.23,inf,-0.27,0.57,0.16,1.44,-0.21,inf,-1.52,-29.12,4.02,inf,5.67,inf,-1.25,0.13,0.87,1.81,49.28,inf,-209.69,-334.84,-724.31,-93.03,-98.21,0.28,-12.82,inf
2021,inf,-0.12,-0.18,inf,-0.14,0.11,0.06,4.15,-0.09,inf,-2.62,-11.68,-7.66,inf,inf,inf,-2.49,-0.35,1.35,1.05,52.2,inf,-77.35,-91.83,-152.41,-52.86,-59.06,0.58,-4.9,inf
2022,inf,-2.04,-2.81,inf,-2.97,1.65,1.16,-13.08,-1.68,inf,-6.02,-1.02,-0.74,0.04,inf,inf,-3.04,-0.41,1.41,0.78,58.11,inf,-55.44,-80.76,-137.83,-56.84,-52.92,0.7,-4.9,inf
2023,inf,-2.09,-2.88,inf,-3.04,1.69,1.19,-13.38,-1.71,inf,-6.09,-7.66,-5.56,0.04,inf,inf,-3.04,-0.41,1.41,0.78,58.11,inf,-55.44,-80.76,-137.83,-56.84,-52.92,0.7,-4.9,inf
