,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,7.63,205.89,1.22,141.02,-13.61,2.41,0.76,6.52,-0.98,119.07,-11.49,0.03,5.34,-2.11,-0.19,-21.95,2.12,0.62,0.32,2.05,79.04,1.71,-17.7,1.17,0.59,0.37,-11.79,0.31,6.55,0.79
2015,0.39,-0.7,1.22,-0.78,-0.67,1.27,0.68,4.91,-1.0,-0.61,-0.53,-3.24,1.86,0.0,-0.27,0.17,0.15,0.56,0.61,1.8,72.54,-163.05,-188.25,-181.77,-174.25,-98.15,-261.59,0.54,-9.63,inf
2016,inf,-11.92,2.96,-32.93,-12.65,3.01,1.3,6.89,-1.97,-28.1,-10.8,-0.33,1.32,0.13,-0.44,4.83,1.86,0.44,0.58,2.27,77.88,-9.12,-23.75,-25.21,-24.87,-10.92,-25.65,0.43,-19.22,inf
2017,inf,-11.02,7.75,-12.13,-8.93,6.29,2.41,28.54,-3.25,-11.45,-8.43,-0.51,0.72,-0.16,-0.44,0.68,0.5,0.31,0.73,1.48,72.05,-51.83,-70.41,-57.08,-70.38,-21.83,-121.84,0.38,-23.1,inf
2018,inf,-16.98,16.82,-48.86,-23.58,7.26,3.42,-39.37,-4.21,-47.98,-23.16,-0.37,0.38,0.64,-0.3,0.87,0.42,0.2,0.91,0.68,75.59,-14.86,-30.78,-42.74,-99.05,-20.13,-160.62,0.47,-26.35,inf
2019,inf,-279.92,6.71,48.2,306.39,8.13,2.96,9.62,-5.64,42.32,269.04,-0.03,1.42,inf,-0.82,-5.88,-37.35,0.44,0.56,2.83,83.67,16.86,2.65,-2.9,-2.4,-1.06,-5.23,0.36,-13.72,inf
2020,inf,-143.38,4.18,13.19,20.66,4.41,1.85,6.37,-3.32,10.7,16.76,-0.03,1.19,inf,-0.79,-2.49,-3.9,0.44,0.56,2.89,85.42,33.39,21.33,-3.07,-2.92,-1.29,10.84,0.42,-3.97,inf
2021,inf,7.51,1.69,5.45,7.48,1.48,0.76,4.75,-1.2,3.59,4.94,0.3,1.32,inf,-0.57,-1.85,-2.55,0.45,0.56,1.79,82.43,27.14,19.75,19.67,22.46,10.16,19.45,0.52,8.4,inf
2022,4.15,22.45,1.43,5.82,8.84,1.38,0.68,8.41,-0.92,4.62,7.01,0.08,1.27,-0.31,-0.29,-1.2,-1.82,0.49,0.52,1.47,80.6,23.65,15.58,6.13,6.28,3.05,8.18,0.5,11.92,inf
2023,4.84,19.24,1.23,4.99,7.58,1.18,0.59,7.21,-0.79,3.79,5.75,0.08,1.27,-0.26,-0.3,-1.2,-1.82,0.48,0.52,1.47,80.6,23.65,15.58,6.13,6.38,3.05,8.18,0.5,11.92,inf
