,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.01,0.08,-0.02,-0.04,0.02,0.01,-0.29,-0.01,-0.86,-1.24,-5.51,0.83,0.0,2.85,-0.83,-1.21,0.09,0.91,0.91,9.53,-84.95,-58.49,-164.2,-661.73,-61.7,-61.86,0.38,-7.09,inf
2015,inf,-0.26,0.21,-0.07,-0.07,0.07,0.02,0.81,-0.03,-0.69,-0.67,-8.0,9.93,0.0,1.49,-0.62,-0.61,0.14,0.86,1.23,-3.81,-101.62,-104.29,-28.01,-66.23,-9.23,-118.82,0.33,-12.24,inf
2016,inf,1.62,0.74,-1.23,-0.42,0.27,0.06,-2.58,-0.08,-6.18,-2.12,2.48,5.42,-0.01,1.33,-4.96,-1.7,0.18,0.82,1.15,-22.07,-22.29,-65.01,16.84,20.27,3.63,-56.65,0.22,-23.89,inf
2017,inf,-4.96,0.24,inf,-2.81,0.24,0.05,0.28,-0.08,inf,-19.81,-0.58,12.09,0.04,1.45,inf,-17.01,0.2,0.76,1.77,-4.7,inf,-8.64,-4.88,-4.83,-0.95,-14.46,0.2,-27.51,inf
2018,inf,-0.29,0.33,-0.79,-0.48,0.22,0.05,0.28,-0.08,-5.74,-3.54,-6.39,5.59,0.0,2.06,-4.95,-3.05,0.15,0.77,1.78,15.11,-27.84,-45.17,-76.42,-114.3,-16.62,-21.79,0.22,-22.07,inf
2019,inf,-1.22,0.32,-2.8,-1.54,0.98,0.06,0.28,-0.1,-15.38,-8.46,-1.58,6.0,inf,1.44,-12.58,-6.92,0.2,0.8,2.69,0.06,-34.77,-63.25,-80.11,-26.29,-5.19,-8.38,0.06,-38.92,inf
2020,inf,3.09,0.45,4.47,10.67,1.16,0.13,0.53,-0.21,11.88,28.36,0.78,5.34,inf,0.75,7.41,17.69,0.28,0.72,2.55,22.81,26.04,10.91,37.7,14.68,4.18,0.89,0.11,-27.27,inf
2021,inf,-3.75,1.07,-3.55,-3.16,1.66,0.31,1.06,-0.57,-6.07,-5.39,-1.42,4.98,inf,0.76,-2.51,-2.24,0.29,0.71,2.71,26.98,-46.62,-52.42,-44.19,-28.5,-8.22,-18.14,0.19,-7.55,inf
2022,inf,-4.35,1.05,-4.32,-3.58,1.03,0.24,0.89,-0.45,-9.12,-7.57,-0.91,3.75,0.03,1.17,-4.81,-3.99,0.23,0.77,2.28,24.17,-23.95,-28.85,-23.78,-24.18,-5.45,-13.22,0.23,-7.55,inf
2023,inf,-4.33,1.05,-4.3,-3.57,1.03,0.24,0.89,-0.45,-9.11,-7.56,-0.89,3.66,0.03,1.17,-4.81,-3.99,0.23,0.77,2.28,24.17,-23.95,-28.85,-23.78,-24.18,-5.45,-13.22,0.23,-7.55,inf
