,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.33,17.23,3.14,13.4,15.46,2.25,2.31,10.88,-3.63,13.64,15.73,5.28,28.96,1.21,0.06,0.24,0.28,0.73,0.27,2.38,37.65,16.82,14.58,13.08,18.24,13.38,15.59,1.02,14.3,11.26
2015,1.83,12.49,2.03,10.99,12.99,1.63,1.48,6.71,-2.36,11.57,13.68,5.32,32.76,16.05,0.11,0.58,0.69,0.73,0.27,2.43,35.82,14.86,12.56,13.07,16.25,11.84,12.13,0.91,13.59,11.42
2016,1.35,16.57,3.0,14.14,16.23,2.44,2.29,8.47,-3.9,13.9,15.96,6.94,38.35,0.55,-0.05,-0.24,-0.27,0.76,0.24,2.88,39.15,17.26,15.03,14.72,18.1,13.81,15.13,0.94,12.85,16.43
2017,1.08,20.92,3.54,18.27,21.06,3.26,2.9,9.0,-4.99,17.66,20.36,2.49,14.73,2.75,-0.12,-0.6,-0.7,0.82,0.18,4.33,41.53,17.85,15.49,15.59,16.91,13.86,14.39,0.89,8.84,12.4
2018,0.96,20.05,2.61,15.53,19.32,2.41,1.86,12.42,-2.71,16.38,20.39,2.13,16.41,-1.4,0.14,0.85,1.06,0.71,0.29,1.91,38.08,15.51,12.46,12.01,13.01,9.27,9.94,0.77,6.92,6.65
2019,0.66,23.22,2.14,16.73,24.02,2.12,1.6,11.07,-2.24,17.53,25.16,1.64,17.8,inf,0.1,0.8,1.14,0.74,0.26,2.01,35.41,12.66,8.82,9.12,9.23,6.87,7.5,0.75,5.91,-1.46
2020,1.34,15.12,1.74,11.78,16.16,1.59,1.19,5.16,-1.97,12.15,16.66,2.25,19.6,inf,0.05,0.37,0.5,0.68,0.32,2.37,32.83,13.51,9.85,10.53,11.49,7.85,8.29,0.75,9.43,4.81
2021,0.78,17.11,1.23,12.43,21.77,1.11,0.81,2.78,-1.39,12.71,22.26,1.49,20.74,inf,0.03,0.28,0.49,0.66,0.34,3.34,28.18,8.9,5.08,6.46,7.18,4.74,3.06,0.73,7.96,-8.43
2022,5.43,25.21,1.81,13.49,20.83,1.2,1.06,5.04,-1.85,15.23,23.51,1.42,19.79,-5.5,0.23,1.74,2.68,0.59,0.41,1.98,28.5,8.89,5.76,4.76,7.18,4.21,5.07,0.89,13.34,-10.61
2023,0.79,17.74,1.27,9.5,14.66,0.84,0.75,3.55,-1.3,11.23,17.34,1.42,19.79,-3.87,0.23,1.74,2.68,0.59,0.41,1.98,28.5,8.89,5.76,4.76,7.18,4.21,5.07,0.89,13.34,-10.61
