,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.43,10.75,125.71,0.48,0.52,inf,32.77,8.35,0.71,-1.87,-0.9,-0.44,-0.04,0.23,inf,inf
2015,inf,-3.47,0.29,8.08,-4.98,0.21,0.15,0.88,-0.27,9.75,-6.01,-1.17,14.11,inf,0.06,1.67,-1.03,0.54,0.46,1.68,29.58,2.63,-4.26,-6.12,-8.3,-4.44,-5.95,0.73,64.1,inf
2016,inf,-10.83,0.8,-18.35,-16.87,0.54,0.55,8.24,-0.72,-17.0,-15.63,-0.46,6.19,0.48,-0.06,1.35,1.24,0.69,0.31,inf,30.66,-2.93,-3.19,-4.96,-7.34,-5.08,-5.56,1.02,49.36,inf
2017,3.45,394.75,1.45,13.33,50.24,0.97,0.96,11.32,-1.27,13.22,49.81,0.02,5.98,-3.77,-0.01,-0.11,-0.43,0.66,0.34,1.52,31.15,7.26,1.93,0.25,0.37,0.24,1.09,0.99,42.59,-33.19
2018,0.08,149.57,1.16,11.49,46.92,0.75,0.72,14.41,-1.0,11.77,48.08,0.05,6.1,1.3,0.03,0.28,1.16,0.62,0.38,1.22,32.18,6.5,1.59,0.5,0.78,0.48,1.9,0.97,39.97,-21.36
2019,7.66,-88.3,1.22,12.04,28.31,0.87,0.52,22.81,-0.66,14.01,32.94,-0.1,6.88,inf,0.2,1.97,4.63,0.43,0.57,1.12,31.98,7.25,3.08,-0.99,-1.38,-0.59,2.43,0.6,29.56,inf
2020,inf,-2.55,1.02,-2.66,-2.16,1.05,0.44,3.72,-0.59,-2.96,-2.41,-1.65,4.13,inf,0.12,-0.3,-0.24,0.43,0.57,1.81,23.53,-39.35,-48.27,-41.05,-40.09,-17.2,-37.26,0.42,-6.51,inf
2021,inf,-8.65,0.62,8.27,-215.31,0.38,0.24,4.17,-0.3,11.54,-300.37,-0.28,3.93,inf,0.24,3.27,-85.06,0.38,0.62,1.34,31.78,4.54,-0.17,-4.34,-7.14,-2.73,-0.4,0.63,3.75,inf
2022,inf,-8.75,0.76,6.79,98.49,0.35,0.28,-13.94,-0.35,9.36,135.74,-0.32,3.7,-0.51,0.29,2.57,37.25,0.37,0.63,0.91,32.38,5.14,0.35,-3.99,-8.66,-3.23,0.36,0.81,3.75,inf
2023,inf,-6.06,0.52,4.7,68.24,0.24,0.2,-9.66,-0.25,7.27,105.49,-0.32,3.7,-0.36,0.29,2.57,37.25,0.37,0.63,0.91,32.38,5.14,0.35,-3.99,-8.66,-3.23,0.36,0.81,3.75,inf
