,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.1,11.64,inf,inf,inf,inf,0.12,0.88,1.31,34.9,inf,0.13,0.59,0.85,0.1,inf,0.18,29.58,-20.37
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.7,10.72,inf,inf,inf,inf,0.16,0.84,0.86,41.32,inf,-7.95,-3.61,-6.53,-1.02,inf,0.28,41.36,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.04,10.53,inf,inf,inf,inf,0.22,0.78,0.84,42.59,inf,0.03,0.25,0.33,0.07,inf,0.29,37.0,-40.69
2017,8.1,3.51,0.52,inf,2.16,0.36,0.13,-0.74,-0.25,inf,inf,1.74,11.76,0.0,inf,inf,inf,0.25,0.75,0.73,72.97,inf,16.67,10.25,14.77,3.73,inf,0.36,31.8,13.28
2018,14.5,5.09,0.56,inf,3.02,0.76,0.27,1.33,-0.46,inf,inf,1.4,12.77,-0.27,inf,inf,inf,0.49,0.51,2.08,71.15,inf,25.3,15.0,11.0,5.39,inf,0.36,-4.41,4.27
2019,3.55,13.91,1.03,9.42,9.34,2.5,0.61,5.09,-1.05,inf,inf,1.0,13.48,inf,inf,inf,inf,0.59,0.41,1.45,74.78,26.56,26.8,17.99,7.41,4.39,inf,0.24,-19.89,58.9
2020,4.35,23.37,0.83,17.13,16.07,3.57,0.68,2.21,-1.11,28.17,26.42,0.49,13.75,inf,inf,inf,inf,0.82,0.18,4.63,79.12,20.84,22.22,15.28,3.54,2.9,inf,0.19,-30.32,inf
2021,4.89,14.41,0.74,23.11,23.48,3.93,0.64,21.35,-0.65,40.93,41.61,0.73,14.28,inf,inf,inf,inf,0.86,0.14,inf,78.11,17.02,16.75,27.29,5.14,4.41,inf,0.16,-28.34,83.5
2022,6.21,-22.63,0.53,inf,-15.22,2.57,0.45,60.86,-0.46,inf,inf,-0.32,13.95,0.16,inf,inf,inf,0.86,0.14,inf,77.95,inf,-16.89,-11.36,-2.32,-2.01,inf,0.18,-29.95,inf
2023,inf,-23.12,0.54,inf,-15.55,2.63,0.46,62.19,-0.47,inf,-24.47,-0.32,13.95,0.16,inf,inf,inf,0.86,0.14,inf,77.95,inf,-16.89,-11.36,-2.32,-2.01,inf,0.18,-29.95,inf
