,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.24,10.88,1.85,2.31,2.85,0.14,0.26,2.48,-0.74,3.71,4.58,0.71,4.16,0.84,1.12,1.4,1.73,0.14,0.86,1.2,27.53,6.19,5.02,1.31,17.04,2.43,19.84,1.85,23.89,inf
2015,1.06,-48.83,4.84,6.89,9.45,0.36,0.57,6.59,-1.44,8.42,11.54,-0.36,3.65,0.32,1.23,1.52,2.09,0.1,0.9,1.17,28.72,5.18,3.77,-0.73,-11.4,-1.19,10.73,1.63,13.3,inf
2016,inf,27.29,3.8,3.31,4.07,0.25,0.39,9.55,-1.08,3.91,4.81,3.89,27.94,-0.12,0.69,0.6,0.74,0.1,0.9,1.07,30.74,7.51,6.11,0.91,13.93,1.42,23.13,1.56,8.17,49.31
2017,1.76,4.46,0.84,1.68,1.95,0.14,0.23,1.55,-0.8,0.91,1.05,17.99,95.91,0.01,-0.39,-0.78,-0.9,0.28,0.72,1.27,30.09,8.6,7.41,3.25,18.76,5.24,27.15,1.62,11.14,inf
2018,0.47,57.76,14.99,27.71,31.91,2.21,3.92,33.71,-14.47,27.27,31.4,3.13,12.08,1.08,-0.24,-0.44,-0.51,0.26,0.74,1.19,29.1,7.99,6.94,3.83,25.94,6.79,32.34,1.77,14.02,39.32
2019,1.01,84.07,10.24,43.65,60.14,3.9,3.92,16.02,-11.15,41.45,57.11,0.57,4.66,inf,-0.52,-2.2,-3.03,0.38,0.62,1.6,27.93,8.93,6.48,4.64,12.19,4.66,11.79,1.0,15.25,48.29
2020,0.48,413.95,22.14,106.18,196.64,5.56,6.58,47.94,-20.66,105.38,195.17,0.06,1.13,inf,-0.17,-0.8,-1.48,0.3,0.7,1.25,25.77,5.23,2.83,1.34,5.35,1.59,8.9,1.18,26.58,inf
2021,0.21,82.5,4.33,37.84,103.54,1.38,1.27,5.27,-3.51,39.92,109.22,0.09,1.67,inf,0.24,2.07,5.67,0.29,0.71,1.61,24.06,3.65,1.33,1.67,5.25,1.54,-1.87,0.92,29.98,46.82
2022,inf,-37.06,1.74,9.56,23.96,0.5,0.49,2.6,-1.17,11.82,29.65,-0.07,1.58,0.2,0.41,2.27,5.68,0.28,0.72,1.48,27.99,5.19,2.07,-1.34,-4.69,-1.32,0.01,0.99,25.49,inf
2023,inf,-44.77,2.1,11.54,28.95,0.6,0.59,3.14,-1.41,13.81,34.63,-0.07,1.58,0.24,0.41,2.27,5.68,0.28,0.72,1.48,27.99,5.19,2.07,-1.34,-4.69,-1.32,0.01,0.99,25.49,inf
