,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-19.8,-0.18,inf,1.24,0.23,0.21,-0.14,-0.25,inf,1.7,0.0,-0.34,0.21,inf,inf,0.46,-1.2,2.2,0.1,21.54,inf,18.33,-1.15,-0.89,-1.06,-13.91,0.92,8.82,inf
2015,inf,-3.2,-0.14,1.22,1.62,0.17,0.17,-0.11,-0.2,1.37,1.82,-0.02,-0.36,-0.01,inf,0.15,0.2,-1.18,2.18,0.1,22.55,14.07,10.56,-5.35,-4.36,-5.16,-8.77,0.96,11.68,inf
2016,inf,-162.58,-8.1,70.58,92.5,11.03,10.4,-6.28,-11.98,70.64,92.57,-0.02,-0.38,-8.07,inf,0.05,0.07,-1.28,2.29,0.07,18.8,15.63,11.93,-6.79,-4.98,-6.4,-8.82,0.94,1.54,inf
2017,inf,-0.8,-0.07,1.75,3.88,0.11,0.12,-0.06,-0.14,1.86,4.12,-3.57,-41.22,-0.01,inf,0.11,0.24,-1.7,2.7,0.08,18.8,6.07,2.74,-13.31,-8.66,-14.74,-1.5,1.11,-8.73,inf
2018,inf,-0.24,-0.05,1.03,1.68,0.08,0.09,-0.04,-0.11,1.06,1.72,-9.43,-50.65,0.0,inf,0.03,0.05,-1.96,2.96,0.09,22.42,7.85,4.84,-33.56,-18.62,-36.41,-2.69,1.09,-2.38,inf
2019,inf,-1.27,-0.11,1.07,1.26,0.18,0.21,-0.1,-0.31,1.07,1.26,-4.65,-55.3,inf,inf,0.0,0.01,-1.96,2.97,0.13,28.37,16.68,14.13,-14.01,-8.4,-16.51,-8.29,1.18,4.71,inf
2020,inf,3.0,-0.13,1.12,1.31,0.19,0.2,-0.12,-0.36,1.13,1.32,2.33,-52.86,inf,inf,0.01,0.01,-1.54,2.54,0.21,28.27,17.04,14.58,6.37,-4.41,6.78,-8.24,1.06,4.62,inf
2021,inf,1.34,-0.13,0.73,0.82,0.14,0.17,-0.12,-0.33,0.72,0.81,4.76,-48.43,inf,inf,-0.01,-0.01,-1.29,2.29,0.25,25.05,19.37,17.37,10.57,-9.82,12.65,-13.57,1.2,10.24,inf
2022,inf,6.7,-0.13,0.86,1.0,0.12,0.15,-0.12,-0.32,0.66,0.76,0.92,-47.34,-0.08,inf,-0.2,-0.23,-1.13,2.13,0.3,28.5,13.93,12.01,1.79,-1.95,2.19,-11.16,1.23,13.94,inf
2023,inf,9.55,-0.19,1.23,1.42,0.17,0.21,-0.17,-0.46,1.02,1.19,0.92,-47.34,-0.12,inf,-0.2,-0.23,-1.13,2.13,0.3,28.5,13.93,12.01,1.79,-1.94,2.19,-11.16,1.23,13.94,inf
