,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.23,128.07,inf,0.06,inf,0.82,0.51,0.49,1.97,75.71,inf,21.48,12.44,4.08,2.08,6.18,0.17,25.57,-21.38
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-12.78,111.22,inf,0.13,inf,-1.44,0.48,0.52,1.39,37.98,inf,-55.72,-72.97,-11.49,-5.56,-7.78,0.08,2.19,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38.03,139.83,inf,-0.01,inf,-0.03,0.55,0.45,2.23,85.56,inf,50.8,46.3,27.2,14.92,27.3,0.32,33.45,inf
2017,14.81,7.05,0.29,inf,-21.97,1.83,0.18,1.66,-0.21,inf,-21.35,5.95,145.65,-0.08,-0.04,inf,2.91,0.63,0.37,3.46,50.09,inf,-8.33,25.95,4.09,2.56,-3.26,0.1,8.43,63.7
2018,11.75,65.92,0.34,inf,-17.95,2.24,0.22,2.56,-0.24,inf,-14.58,0.73,143.6,-0.75,-0.06,inf,3.29,0.64,0.36,3.83,47.89,inf,-12.51,3.41,0.51,0.33,-1.96,0.1,0.55,inf
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-5.71,137.92,inf,0.01,-0.3,-0.2,0.62,0.38,2.65,37.2,-21.97,-33.58,-30.06,-4.14,-2.56,-4.44,0.09,-14.68,inf
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-8.56,129.21,inf,0.07,-1.21,-0.86,0.59,0.41,1.76,22.36,-46.36,-65.25,-54.53,-6.63,-3.94,-8.9,0.07,-2.17,inf
2021,inf,-9.06,0.36,-77.33,-9.75,2.04,0.2,4.98,-0.22,-101.78,-12.83,-5.08,128.57,inf,0.1,-20.75,-2.62,0.57,0.43,1.8,25.55,-2.64,-20.97,-22.55,-3.95,-2.24,-3.54,0.1,-22.81,inf
2022,inf,-8.14,0.33,99.93,-13.34,1.4,0.18,6.37,-0.2,155.52,-20.77,-5.04,126.06,2.7,0.12,36.29,-4.85,0.57,0.43,1.57,32.47,1.4,-10.46,-17.14,-4.0,-2.27,-2.09,0.13,-22.81,inf
2023,inf,-8.14,0.33,99.93,-13.34,1.4,0.18,6.37,-0.2,147.46,-19.69,-5.04,126.06,2.7,0.12,36.29,-4.85,0.57,0.43,1.57,32.47,1.4,-10.46,-17.14,-4.0,-2.27,-2.09,0.13,-22.81,inf
