,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-5.18,1.4,inf,-3.81,0.31,0.33,-2.63,-0.54,inf,-11.66,-0.02,0.06,0.07,2.07,inf,-5.63,0.24,0.76,0.76,3.32,inf,-8.06,-5.92,-26.97,-6.35,-28.52,1.07,2.25,inf
2015,inf,-0.53,0.7,inf,-1.11,0.05,0.07,-0.32,-0.11,inf,inf,-1.64,1.22,0.0,3.83,inf,-6.05,0.1,0.9,0.62,2.82,inf,-4.15,-8.75,-133.8,-13.28,-28.05,1.52,4.81,inf
2016,inf,-22.19,9.58,inf,-414.38,1.53,2.5,-12.9,-4.5,inf,inf,-1.58,3.65,6.04,1.13,inf,-49.6,0.26,0.74,0.7,7.93,inf,-0.37,-6.88,-42.64,-11.18,-11.99,1.63,15.72,inf
2017,inf,4.47,0.22,inf,0.19,0.04,0.06,-1.35,-0.12,inf,inf,4.63,95.05,-0.04,1.05,inf,0.98,0.28,0.72,0.92,17.26,inf,19.87,0.85,4.61,1.29,48.56,1.52,20.44,inf
2018,inf,53.11,0.91,inf,1.61,0.16,0.22,-1.58,-0.38,inf,inf,1.75,102.19,-0.85,1.73,inf,3.06,0.25,0.75,0.79,20.75,inf,9.76,0.3,1.71,0.42,20.26,1.43,16.35,inf
2019,0.6,1.28,0.46,5.09,-18.54,0.13,0.14,-0.61,-0.21,inf,inf,56.82,158.58,inf,1.6,17.71,-64.57,0.3,0.7,0.6,15.87,2.64,-0.72,10.44,35.83,10.75,-31.1,1.03,10.03,inf
2020,inf,-0.89,0.62,-4.52,-1.94,0.12,0.1,-0.59,-0.15,inf,inf,-64.96,93.61,inf,3.37,-24.66,-10.56,0.16,0.84,0.67,10.69,-2.62,-6.12,-13.32,-69.4,-11.19,-21.36,0.84,0.14,inf
2021,inf,-1.07,-0.19,8.38,-3.99,0.2,0.11,-0.15,-0.16,inf,inf,-37.35,-206.18,inf,inf,74.72,-35.63,-0.57,1.57,0.28,0.8,2.37,-4.96,-18.49,-18.12,-10.33,-20.73,0.56,-19.4,inf
2022,inf,-54.87,-39.91,-92.14,-84.15,72.92,33.61,-31.14,-49.22,-3.2,-2.93,-0.42,-0.58,-0.05,inf,-3.08,-2.82,-0.84,1.84,0.23,-23.23,-79.13,-86.65,-132.89,-72.74,-61.25,-149.31,0.46,-19.4,inf
2023,inf,-54.87,-39.91,-92.14,-84.15,72.92,33.61,-31.14,-49.22,-3.2,-2.93,-0.42,-0.58,-0.05,inf,-3.08,-2.82,-0.84,1.84,0.23,-23.23,-79.13,-86.65,-132.89,-72.74,-61.25,-149.31,0.46,-19.4,inf
