,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.74,10.35,0.94,inf,6.05,3.42,0.57,10.03,-0.66,inf,8.9,4.59,50.67,0.35,0.44,inf,2.85,0.6,0.4,1.74,73.3,inf,56.53,33.06,9.05,5.44,8.57,0.16,18.19,17.64
2015,3.42,8.42,0.73,inf,4.86,2.86,0.43,12.39,-0.49,inf,7.73,4.51,52.09,-5.27,0.43,inf,2.87,0.6,0.4,1.46,77.35,inf,58.92,34.01,8.66,5.16,8.6,0.15,12.0,10.65
2016,0.85,15.28,1.07,inf,7.29,4.29,0.6,26.35,-0.68,inf,10.98,3.89,55.44,-1.1,0.54,inf,3.69,0.56,0.44,1.25,76.48,inf,58.94,28.1,7.01,3.92,7.14,0.14,10.42,0.91
2017,1.7,38.44,2.74,inf,22.34,12.28,1.64,23.66,-1.93,inf,25.23,1.84,25.89,2.09,0.35,inf,2.89,0.6,0.4,1.86,76.36,inf,54.97,31.94,7.12,4.27,7.13,0.13,3.83,-0.98
2018,3.32,10.29,0.91,inf,6.61,3.96,0.55,8.69,-0.64,inf,9.27,2.36,26.65,0.37,0.37,inf,2.66,0.6,0.4,1.78,77.31,inf,59.92,38.48,8.86,5.33,7.5,0.14,4.78,10.7
2019,1.42,42.22,3.56,21.63,28.23,15.23,2.08,50.91,-2.41,24.02,31.34,0.78,9.3,inf,0.39,2.39,3.12,0.58,0.42,1.42,79.15,70.42,53.96,36.08,8.43,4.92,7.07,0.14,3.23,5.06
2020,1.93,14.66,2.27,10.29,12.33,13.07,1.34,16.83,-1.62,11.67,13.99,1.6,10.37,inf,0.3,1.38,1.66,0.59,0.41,1.84,74.59,126.99,106.0,89.15,15.48,9.13,11.12,0.1,0.31,21.63
2021,2.67,24.82,1.77,13.66,18.39,8.73,1.05,23.58,-1.23,16.38,22.06,0.75,10.59,inf,0.35,2.73,3.67,0.6,0.4,1.45,78.94,63.91,47.46,35.17,7.12,4.25,6.04,0.12,3.03,7.75
2022,3.27,17.1,2.0,10.45,12.31,7.32,1.21,27.17,-1.45,11.99,14.13,1.28,10.96,0.25,0.29,1.54,1.81,0.61,0.39,1.37,81.15,70.02,59.44,42.79,11.69,7.07,10.59,0.17,9.22,15.8
2023,3.43,19.24,2.25,11.76,13.85,8.23,1.36,30.57,-1.63,13.3,15.67,1.28,10.96,0.28,0.29,1.54,1.81,0.61,0.39,1.37,81.15,70.02,59.44,42.79,11.69,7.07,10.59,0.17,9.22,15.8
