,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.89,12.41,0.71,inf,6.7,0.37,0.3,2.6,-0.53,inf,inf,1.21,21.11,0.07,0.36,inf,3.4,0.42,0.58,1.35,41.57,inf,5.59,3.02,5.73,2.39,6.31,0.79,12.85,1.64
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.49,21.01,inf,0.73,inf,4.66,0.44,0.56,1.27,44.36,inf,7.78,1.17,2.33,1.02,8.0,0.88,11.45,-17.87
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.14,22.04,inf,0.48,inf,2.3,0.49,0.51,1.12,42.83,inf,10.37,4.85,9.73,4.75,10.49,0.98,9.97,3.1
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.1,25.05,inf,0.29,inf,0.96,0.54,0.45,1.38,46.99,inf,15.47,8.42,16.39,8.87,16.34,1.05,5.97,50.87
2018,0.83,7.56,1.58,inf,4.43,0.81,0.87,4.35,-1.77,inf,inf,6.09,29.16,0.16,0.18,inf,0.49,0.55,0.44,1.65,45.55,inf,18.37,10.76,20.87,11.52,19.24,1.07,9.56,68.6
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.46,23.3,inf,0.48,0.91,1.17,0.42,0.58,2.52,41.15,21.22,16.49,9.34,23.42,9.77,15.89,1.05,7.87,35.19
2020,inf,3.49,0.82,1.53,1.97,0.33,0.34,0.94,-0.85,3.93,5.06,5.46,23.3,-0.34,0.48,0.91,1.17,0.42,0.58,2.52,41.15,21.22,16.49,9.34,23.42,9.77,15.89,1.05,7.87,33.76
2021,inf,3.49,0.82,1.53,1.97,0.33,0.34,0.94,-0.85,3.93,5.06,5.46,23.3,-0.34,0.48,0.91,1.17,0.42,0.58,2.52,41.15,21.22,16.49,9.34,23.42,9.77,15.89,1.05,7.87,35.19
2022,inf,3.49,0.82,1.53,1.97,0.33,0.34,0.94,-0.85,3.93,5.06,5.46,23.3,-0.34,0.48,0.91,1.17,0.42,0.58,2.52,41.15,21.22,16.49,9.34,23.42,9.77,15.89,1.05,7.87,35.19
2023,inf,3.49,0.82,1.53,1.97,0.33,0.34,0.94,-0.85,3.93,5.06,5.46,23.3,-0.34,0.48,0.91,1.17,0.42,0.58,2.52,41.15,21.22,16.49,9.34,23.42,9.77,15.89,1.05,7.87,35.19
