,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.43,1.97,2.3,0.53,0.47,2.07,59.25,22.24,18.99,11.52,11.43,6.01,8.6,0.52,inf,inf
2015,0.98,27.28,4.96,15.99,19.28,3.53,2.72,8.26,-5.99,17.63,21.25,1.28,7.05,inf,0.51,1.64,1.97,0.55,0.45,2.52,55.68,22.1,18.33,12.96,18.2,9.98,13.38,0.77,inf,inf
2016,0.8,-290.12,4.01,49.08,170.66,3.31,1.95,6.37,-3.82,57.04,198.36,-0.1,6.98,2.7,0.65,7.96,27.7,0.49,0.51,2.66,49.52,6.74,1.94,-1.14,-1.38,-0.67,0.12,0.59,inf,inf
2017,0.46,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.47,2.08,2.86,0.5,0.5,1.47,52.76,18.05,13.13,7.54,9.39,4.7,7.61,0.62,inf,inf
2018,0.73,26.41,3.99,14.72,18.56,3.09,2.15,7.5,-4.2,16.52,20.83,1.28,8.45,0.33,0.49,1.8,2.27,0.54,0.46,2.42,55.01,20.96,16.63,11.68,15.1,8.14,11.3,0.7,inf,inf
2019,0.45,50.13,4.71,24.06,32.31,3.74,2.67,10.81,-5.22,26.51,35.6,0.86,9.13,inf,0.48,2.45,3.29,0.57,0.43,2.02,49.65,15.56,11.59,7.47,9.4,5.32,7.77,0.71,13.61,4.17
2020,1.15,22.85,3.66,15.95,20.08,2.81,1.86,4.65,-4.83,17.13,21.55,1.66,10.39,inf,0.27,1.17,1.48,0.51,0.49,2.85,51.22,17.6,13.99,12.29,16.0,8.13,10.26,0.66,6.45,5.33
2021,1.86,12.07,2.14,8.15,9.75,1.52,1.08,2.84,-2.97,9.46,11.32,2.11,11.89,inf,0.34,1.31,1.57,0.51,0.43,2.97,49.41,18.65,15.59,12.59,17.77,8.97,12.64,0.71,14.66,inf
2022,2.78,10.05,1.78,6.27,7.4,1.26,0.97,2.25,-2.61,7.45,8.8,2.42,13.64,0.69,0.34,1.18,1.39,0.55,0.45,3.25,50.72,20.1,17.03,12.55,17.75,9.7,14.01,0.77,15.56,27.95
2023,2.73,10.22,1.81,6.38,7.53,1.28,0.99,2.29,-2.65,7.56,8.93,2.42,13.64,0.7,0.34,1.18,1.39,0.55,0.45,3.25,50.72,20.1,17.03,12.55,17.75,9.7,14.01,0.77,15.56,27.95
