,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.02,0.96,inf,1.05,inf,8.73,0.37,0.53,1.03,45.65,inf,31.57,4.18,1.6,0.59,4.29,0.14,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.01,0.93,inf,1.08,inf,7.08,0.38,0.52,0.97,41.04,inf,31.04,-3.05,-1.5,-0.57,5.1,0.19,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.03,0.95,inf,0.94,inf,3.93,0.38,0.52,1.01,39.81,inf,36.32,4.99,3.29,1.26,9.08,0.25,inf,inf
2017,inf,54.5,3.11,inf,23.51,10.02,1.4,19.7,-1.65,inf,30.09,0.32,5.63,0.06,0.87,inf,6.58,0.45,0.54,1.87,36.77,inf,42.61,18.38,5.7,2.57,5.79,0.14,80.75,inf
2018,0.52,49.08,1.13,inf,7.53,2.77,0.5,9.03,-0.56,inf,14.55,0.36,15.51,-0.84,1.06,inf,7.01,0.44,0.55,2.01,40.47,inf,36.77,5.64,2.31,1.02,6.24,0.18,72.46,inf
2019,inf,184.25,1.78,9.15,12.96,4.93,0.69,5.31,-0.84,14.67,20.78,0.2,20.55,inf,1.07,5.52,7.82,0.39,0.61,3.81,39.18,53.91,38.06,2.68,0.96,0.37,5.14,0.14,54.71,41.51
2020,inf,160.21,2.06,10.04,15.09,7.17,0.75,11.17,-0.85,16.57,24.91,0.25,19.63,inf,1.38,6.53,9.81,0.35,0.64,2.16,36.92,71.45,47.53,4.48,1.32,0.47,4.79,0.1,50.4,inf
2021,inf,18.04,1.32,3.45,4.61,3.12,0.45,8.57,-0.55,6.48,8.66,1.53,20.91,inf,1.16,3.03,4.05,0.39,0.75,1.47,34.06,90.38,67.66,17.3,7.31,2.88,10.05,0.17,55.45,99.31
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.15,4.63,7.57,0.33,0.67,1.19,27.4,43.26,26.43,2.15,1.24,0.41,6.12,0.19,34.84,-12.22
2023,inf,105.53,1.3,inf,8.58,2.27,0.43,15.4,-0.53,inf,16.16,0.26,21.23,-1.27,1.15,inf,7.57,0.33,0.67,1.19,27.4,inf,26.43,2.15,1.23,0.41,6.12,0.19,34.84,-12.22
