,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.02,-0.05,-0.02,-0.02,0.11,0.01,-0.07,-0.03,-1.54,-1.47,-12.79,-5.18,0.0,inf,-1.52,-1.45,-0.27,1.31,1.02,24.89,-511.58,-536.99,-546.67,-246.96,-66.07,-97.92,0.12,inf,inf
2015,inf,-0.08,-0.02,-0.12,-0.12,0.25,0.03,-0.28,-0.03,-24.09,-23.84,-1.97,-7.04,0.0,inf,-23.97,-23.71,-0.27,1.28,13.45,-5.94,-203.45,-205.66,-326.18,-27.96,-7.44,-5.6,0.02,84.47,inf
2016,inf,-0.03,-0.02,-0.05,-0.05,43.2,0.03,-0.11,-0.03,-3.57,-3.55,-467.92,-904.03,0.0,inf,-3.52,-3.5,-1.79,2.8,0.07,-570.63,inf,inf,inf,-48.7,-87.29,-277.34,0.0,-62.34,inf
2017,inf,-0.04,-0.01,-0.13,-0.13,2.27,0.01,-0.05,-0.01,-20.39,-20.0,-183.19,inf,0.0,inf,-20.26,-19.88,-2.03,3.03,0.02,100.0,inf,inf,inf,-16.31,-33.07,-116.31,0.01,-52.37,inf
2018,inf,-0.03,0.0,-0.17,-0.16,1.2,0.01,-0.03,-0.01,-61.43,-60.17,-135.57,inf,0.0,inf,-61.26,-60.0,-2.3,3.31,0.03,100.0,-723.59,-738.75,inf,-10.65,-24.52,inf,0.01,-58.6,inf
2019,inf,-0.02,0.0,-0.05,-0.05,0.86,0.01,-0.02,-0.01,-21.99,-20.48,-180.29,inf,inf,inf,-21.93,-20.43,-2.27,3.28,0.03,100.0,inf,inf,inf,-12.4,-28.21,76.53,0.01,-56.03,inf
2020,inf,-0.07,-0.01,-0.11,-0.11,6.36,0.04,-0.12,-0.04,-8.05,-7.85,-276.44,inf,inf,inf,-7.94,-7.74,-3.66,4.67,0.02,100.0,inf,inf,inf,-15.97,-58.5,63.72,0.01,-44.4,inf
2021,inf,0.18,0.0,0.03,0.03,0.81,0.01,-0.04,-0.01,5.61,5.72,38.93,inf,inf,inf,5.59,5.7,-2.39,3.39,0.02,90.15,inf,inf,464.14,-2.3,5.49,-90.9,0.01,89.07,inf
2022,inf,-0.03,0.0,-2.38,-0.96,0.59,0.01,-0.03,-0.01,-578.93,-233.67,-189.44,inf,0.0,inf,-576.55,-232.72,-2.54,3.55,0.03,90.65,-24.89,-61.67,inf,-10.52,-26.73,3.25,0.02,89.07,inf
2023,inf,-0.04,0.0,-2.54,-1.02,0.63,0.01,-0.04,-0.01,-579.09,-233.74,-189.44,inf,0.0,inf,-576.55,-232.72,-2.54,3.55,0.03,90.65,-24.89,-61.67,inf,-10.52,-26.73,3.25,0.02,89.07,inf
