,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.13,-0.26,-0.34,0.5,0.5,1.9,34.29,24.73,19.5,12.06,23.88,11.91,18.47,0.99,inf,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.11,-0.27,-0.33,0.52,0.48,1.94,34.27,22.98,18.51,10.8,20.12,10.46,17.63,0.97,inf,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.15,0.32,0.39,0.4,0.6,1.02,32.74,20.78,16.88,11.43,25.32,10.08,16.6,0.88,inf,inf
2017,4.31,33.77,8.16,18.64,22.77,3.92,3.82,18.25,-6.58,19.15,23.39,0.99,4.09,inf,0.22,0.51,0.62,0.47,0.53,2.0,31.87,21.01,17.2,11.6,24.15,11.24,18.07,0.97,inf,inf
2018,1.74,19.89,4.04,10.83,14.33,2.03,1.97,9.63,-3.24,11.27,14.9,0.94,4.62,-4.02,0.16,0.44,0.58,0.49,0.51,2.08,28.39,18.77,14.19,10.22,20.33,9.88,16.92,0.97,inf,inf
2019,1.69,22.54,5.13,10.88,15.16,2.63,2.19,19.48,-3.21,11.19,15.6,1.21,5.31,inf,0.15,0.31,0.43,0.43,0.57,1.55,30.14,24.21,17.37,11.68,22.75,9.73,20.52,0.83,14.21,13.48
2020,1.3,23.38,4.03,9.71,14.77,1.98,1.5,9.8,-2.59,10.21,15.53,0.97,5.6,inf,0.21,0.5,0.76,0.37,0.63,1.57,27.11,20.4,13.4,8.47,17.25,6.43,14.1,0.76,14.12,8.7
2021,1.48,11.84,2.9,5.28,7.04,1.27,1.09,74.61,-1.63,5.42,7.22,1.63,6.66,inf,0.07,0.13,0.18,0.38,0.62,1.05,31.01,24.09,18.08,10.75,24.5,9.24,23.04,0.86,17.16,15.74
2022,3.03,15.97,2.8,6.01,8.94,1.31,1.08,-18.82,-1.66,6.43,9.56,1.32,7.51,-0.83,0.2,0.42,0.62,0.38,0.61,0.86,27.21,21.86,14.7,8.23,17.57,6.76,16.89,0.82,13.44,5.92
2023,2.67,15.01,2.63,5.65,8.4,1.24,1.01,-17.7,-1.56,6.07,9.03,1.32,7.51,-0.78,0.2,0.42,0.62,0.39,0.61,0.86,27.21,21.86,14.7,8.23,17.55,6.76,16.89,0.82,13.44,5.92
