,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-2.15,0.27,5.14,6.93,0.27,0.07,0.41,-0.14,22.74,30.69,-0.4,3.16,-0.02,0.93,17.61,23.76,0.26,0.68,1.53,19.37,5.21,3.86,-12.43,-12.65,-3.32,0.1,0.27,16.5,inf
2015,inf,-0.91,1.29,-1.46,-1.18,1.37,0.23,-1.46,-0.41,-3.21,-2.59,-1.8,1.26,0.0,1.56,-1.76,-1.42,0.18,0.78,0.74,-2.31,-94.09,-116.68,-151.53,-142.92,-25.23,-36.17,0.17,-18.99,inf
2016,inf,-0.01,-0.02,-0.01,-0.01,0.24,0.01,-0.02,-0.03,-0.63,-0.61,-107.9,-68.55,0.0,inf,-0.61,-0.6,-0.73,1.73,0.47,-293.56,inf,inf,inf,-157.4,-114.12,inf,0.05,-48.61,inf
2017,inf,0.64,-0.03,-0.06,-0.06,0.24,0.04,-0.09,-0.14,-0.83,-0.81,3.52,-65.03,-0.01,inf,-0.76,-0.75,-1.08,2.09,0.63,5.65,-380.95,-387.19,37.8,-5.41,5.83,152.28,0.15,-36.29,inf
2018,inf,-0.07,-0.01,-0.15,-0.14,0.26,0.02,-0.03,-0.1,-4.24,-3.77,-17.05,-80.57,0.0,inf,-4.09,-3.63,-1.6,2.62,0.54,15.23,-168.23,-189.38,-393.01,-21.17,-33.89,17.88,0.09,-47.43,inf
2019,inf,-0.07,-0.01,-0.13,-0.13,0.2,0.03,-0.03,-0.14,-3.54,-3.51,-111.57,-602.92,inf,inf,-3.4,-3.38,-2.51,3.54,0.4,5.7,-150.82,-152.04,-299.79,-18.51,-46.52,14.3,0.16,-41.16,inf
2020,inf,-0.07,-0.01,-0.12,-0.12,0.15,0.02,-0.01,-0.09,-4.29,-4.25,-56.36,-659.27,inf,inf,-4.17,-4.13,-3.07,4.11,0.38,34.3,-131.57,-132.93,-218.36,-8.55,-26.27,9.12,0.12,-35.22,inf
2021,inf,-0.6,-0.01,-0.22,-0.22,0.18,0.06,-0.04,-0.28,-3.13,-3.12,-2.27,-91.75,inf,inf,-2.91,-2.91,-4.04,5.09,0.34,19.23,-81.26,-81.42,-29.39,-2.47,-9.98,8.85,0.34,11.86,inf
2022,inf,0.06,-0.01,-0.14,-0.14,0.23,0.03,-0.02,-0.15,-4.3,-4.29,1.95,-15.11,0.0,inf,-4.16,-4.15,-4.02,5.07,0.29,16.08,-158.65,-159.1,366.8,-12.91,51.89,12.36,0.14,11.86,inf
2023,inf,0.02,0.0,-0.05,-0.05,0.08,0.01,-0.01,-0.05,-4.21,-4.2,195.09,inf,0.0,inf,-4.16,-4.15,-4.02,5.07,0.29,16.08,-158.65,-159.1,366.8,-12.91,51.89,12.36,0.14,11.86,inf
