,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-18.13,3.18,67.97,-5.3,0.17,0.3,-5.63,-0.88,117.13,-9.14,-0.1,0.56,1.37,2.3,49.16,-3.84,0.09,0.89,0.93,16.2,0.25,-3.22,-0.94,-17.52,-1.65,-18.6,1.75,8.79,inf
2015,inf,-4.44,-7.73,-3.86,-11.95,833.55,2.72,-5.56,-4.64,-4.1,-12.72,-2.93,-1.68,0.0,inf,-0.25,-0.77,-0.35,1.39,0.46,100.0,inf,inf,inf,-174.33,-61.21,213.76,0.0,-74.68,inf
2016,inf,0.67,-6.51,inf,0.52,74.51,0.74,2.95,-1.0,inf,0.36,6.42,-0.66,0.0,inf,inf,-0.16,-0.11,1.16,22.5,100.0,inf,inf,inf,-974.42,110.42,-888.22,0.01,-76.77,inf
2017,inf,9.01,70.7,inf,7.34,349.4,3.07,-30.95,-3.24,inf,7.33,1.15,0.15,-0.11,-0.13,inf,-0.01,0.04,0.96,0.34,100.0,inf,inf,inf,784.22,34.1,889.47,0.01,-80.24,inf
2018,inf,8.58,7.29,9.55,10.12,inf,1.51,69.23,-1.67,9.2,9.75,0.69,0.81,-0.21,-0.27,inf,-0.38,0.21,0.79,1.3,inf,inf,inf,inf,85.01,17.62,62.76,0.0,inf,inf
2019,inf,9.77,2.9,81.09,13.65,inf,0.83,76.21,-0.91,76.01,12.8,0.33,1.12,inf,-0.18,inf,-0.86,0.29,0.71,1.16,inf,inf,inf,inf,29.64,8.54,6.92,0.0,inf,inf
2020,inf,29.72,4.97,inf,28.81,3.02,1.36,3.93,-5.91,inf,30.0,0.22,1.31,inf,0.21,inf,1.19,0.27,0.73,1.82,36.43,inf,10.49,10.17,16.71,4.57,9.3,0.45,173.12,inf
2021,inf,21.49,4.28,inf,9.92,1.6,1.28,3.55,-5.33,inf,10.29,0.33,1.64,inf,0.16,inf,0.37,0.3,0.7,1.9,35.67,inf,16.1,7.43,19.91,5.94,19.72,0.8,225.48,-24.61
2022,inf,24.61,1.77,inf,8.84,0.66,0.48,1.42,-1.79,inf,11.97,0.12,1.73,-0.4,0.63,inf,3.13,0.27,0.73,1.87,31.96,inf,7.43,2.67,7.19,1.96,9.78,0.74,276.1,-12.33
2023,inf,18.1,1.3,inf,6.5,0.48,0.36,1.04,-1.32,inf,9.63,0.12,1.73,-0.29,0.63,inf,3.13,0.27,0.73,1.87,31.96,inf,7.43,2.67,7.19,1.96,9.78,0.74,276.1,-12.33
