,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.08,36.81,inf,-0.43,inf,-34.34,0.76,0.24,4.07,21.4,inf,2.19,5.19,2.93,2.23,-0.54,0.43,8.85,32.28
2015,18.93,13.25,0.77,inf,21.99,1.19,0.57,1.69,-1.02,inf,10.62,2.01,34.66,0.15,-0.42,inf,-11.97,0.75,0.25,4.42,24.53,inf,5.41,8.98,5.79,4.32,1.07,0.48,7.62,-1.25
2016,3.89,5.97,0.79,inf,10.94,1.28,0.62,2.02,-1.09,inf,5.34,5.23,39.51,0.04,-0.44,inf,-6.03,0.79,0.21,4.27,29.5,inf,11.67,21.41,13.24,10.46,5.32,0.49,9.86,inf
2017,7.56,13.2,0.94,inf,12.66,1.38,0.75,2.36,-1.31,inf,8.21,2.88,40.41,-0.29,-0.32,inf,-4.31,0.8,0.2,3.98,32.74,inf,10.9,10.45,7.12,5.7,2.99,0.54,11.31,68.22
2018,8.43,13.54,0.91,inf,13.54,1.28,0.72,2.31,-1.28,inf,inf,2.75,40.71,-3.0,-0.35,inf,-5.17,0.79,0.21,3.47,32.09,inf,9.42,9.42,6.75,5.32,3.38,0.56,9.32,inf
2019,8.27,13.25,1.14,10.56,12.36,1.49,0.87,2.85,-1.53,7.74,9.05,3.55,41.26,inf,-0.33,-3.05,-3.57,0.77,0.23,3.49,30.74,14.07,12.03,11.22,8.6,6.59,5.34,0.59,8.71,26.86
2020,56.35,1.58,1.3,1.02,1.03,4.05,0.83,2.52,-2.26,0.7,0.71,36.15,43.91,inf,-0.38,-0.3,-0.3,0.64,0.36,2.08,30.66,396.52,392.4,256.85,82.34,52.47,81.43,0.2,-8.83,78.27
2021,19.67,5.46,1.12,4.29,4.37,24.62,0.97,2.43,-1.7,3.31,3.37,10.52,51.5,inf,-0.39,-1.49,-1.52,0.87,0.13,16.04,61.75,573.93,562.89,450.72,20.42,17.82,17.81,0.04,-37.48,14.99
2022,3.43,-5.79,0.96,-3.55,-3.49,17.34,0.81,2.92,-1.15,-3.59,-3.52,-8.72,52.76,0.03,-0.19,0.72,0.71,0.84,0.16,14.2,62.81,-488.24,-497.34,-299.31,-16.52,-13.92,-35.46,0.05,-37.48,inf
2023,5.77,-3.44,0.57,-2.11,-2.07,10.31,0.48,1.74,-0.68,-2.58,-2.54,-8.72,52.76,0.02,-0.19,0.72,0.71,0.84,0.16,14.2,62.81,-488.24,-497.34,-299.31,-16.52,-13.92,-35.46,0.05,-37.48,inf
