,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,9.96,-6.05,0.42,14.92,-5.96,0.39,0.16,2.5,-0.2,46.75,-18.69,-1.65,23.68,0.03,0.91,32.19,-12.87,0.39,0.61,1.63,23.85,2.6,-6.5,-6.4,-6.99,-2.72,-3.9,0.43,13.03,inf
2015,inf,-2.51,0.34,3.44,-6.63,0.27,0.1,1.51,-0.12,19.44,-37.42,-2.67,19.53,-0.04,1.54,15.45,-29.73,0.28,0.71,1.52,30.65,7.89,-4.1,-10.83,-13.68,-3.87,-2.56,0.36,8.71,inf
2016,inf,-13.09,0.78,2.98,11.77,0.69,0.24,3.0,-0.29,8.05,31.76,-1.14,19.18,0.23,1.26,4.83,19.06,0.31,0.69,1.8,31.84,23.01,5.83,-5.25,-5.92,-1.84,2.21,0.35,2.97,inf
2017,inf,-470.89,0.8,2.62,5.56,0.74,0.25,2.86,-0.31,6.19,13.15,-0.03,20.24,4.85,1.06,3.5,7.43,0.32,0.68,1.89,32.29,28.29,13.31,-0.16,-0.17,-0.05,5.07,0.34,0.16,inf
2018,3.97,11.48,1.07,2.72,4.74,0.95,0.34,6.36,-0.41,5.37,9.36,1.98,21.25,0.0,0.97,2.47,4.3,0.32,0.67,1.48,38.25,35.1,20.13,8.31,9.3,3.0,7.7,0.36,0.35,1.81
2019,3.12,9.81,1.33,2.62,4.82,1.3,0.43,-97.3,-0.48,4.82,8.88,3.08,22.66,inf,1.08,2.11,3.89,0.32,0.68,0.97,40.4,49.74,27.03,13.28,13.58,4.33,10.04,0.33,-2.17,inf
2020,0.0,52.01,1.2,3.43,7.45,1.36,0.37,61.25,-0.44,6.5,14.14,0.54,23.64,inf,1.06,3.04,6.62,0.31,0.68,1.04,45.56,39.67,18.24,2.61,2.3,0.72,6.17,0.28,-3.29,inf
2021,19.87,3.48,0.96,1.36,1.76,0.82,0.38,11.13,-0.46,2.39,3.1,8.18,29.69,inf,0.69,0.97,1.26,0.4,0.6,1.25,48.52,60.5,46.58,23.56,27.54,10.96,23.21,0.47,9.88,inf
2022,68.48,1.7,0.88,0.88,1.09,0.5,0.33,-470.68,-0.39,1.57,1.94,14.44,27.93,0.02,0.62,0.62,0.76,0.37,0.63,1.0,52.1,56.52,45.89,29.37,51.94,19.28,32.28,0.66,17.72,inf
2023,71.55,1.62,0.84,0.84,1.04,0.48,0.31,-450.51,-0.38,1.53,1.88,14.44,27.93,0.02,0.62,0.62,0.76,0.37,0.63,1.0,52.1,56.52,45.89,29.37,51.68,19.28,32.28,0.66,17.72,inf
