,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,13.54,8.15,0.62,inf,8.91,0.83,0.07,1.12,-0.19,inf,inf,0.79,10.36,-0.23,inf,inf,inf,0.12,0.88,inf,22.08,inf,9.29,10.15,7.59,0.93,inf,0.09,9.73,-6.29
2015,16.28,11.15,0.39,inf,-2.92,0.47,0.05,-0.62,-0.1,inf,inf,0.34,9.6,-0.19,inf,inf,inf,0.13,0.87,inf,4.09,inf,-16.08,4.21,3.43,0.46,inf,0.11,7.92,-24.13
2016,10.64,-16.83,0.42,inf,-17.3,0.5,0.06,0.9,-0.12,inf,inf,-0.24,9.48,0.1,inf,inf,inf,0.14,0.86,inf,-5.0,inf,-2.87,-2.95,-2.43,-0.34,inf,0.12,5.1,inf
2017,inf,-1.86,0.47,inf,-1.15,0.43,0.05,1.54,-0.1,inf,inf,-1.88,7.5,0.0,inf,inf,inf,0.11,0.89,inf,5.67,inf,-37.61,-23.26,-23.38,-2.6,inf,0.11,5.81,inf
2018,inf,-6.21,0.31,inf,-5.29,0.35,0.03,0.16,-0.06,inf,inf,-0.36,7.17,0.08,inf,inf,inf,0.09,0.91,inf,2.97,inf,-6.67,-5.68,-4.96,-0.46,inf,0.08,0.11,inf
2019,inf,-4.4,0.61,-1.85,-1.84,0.57,0.05,-19.4,-0.07,inf,inf,-0.95,6.94,inf,inf,inf,inf,0.09,0.89,0.03,21.43,-30.78,-30.89,-12.94,-13.12,-1.13,inf,0.09,-1.08,inf
2020,inf,-5.26,0.47,-2.67,-2.63,0.31,0.03,-0.22,-0.04,inf,inf,-0.48,5.35,inf,inf,inf,inf,0.06,0.92,0.05,54.46,-11.44,-11.62,-5.82,-8.62,-0.52,inf,0.09,4.73,inf
2021,inf,44.63,0.33,22.6,-42.21,0.27,0.02,-0.04,-0.02,inf,inf,0.04,5.42,inf,inf,inf,inf,0.05,0.95,0.53,16.63,1.18,-0.63,0.6,0.76,0.04,inf,0.06,0.47,inf
2022,inf,7.48,0.35,4.66,12.54,0.21,0.02,-0.12,-0.03,inf,inf,0.22,4.66,0.01,inf,inf,inf,0.05,0.95,0.64,12.88,4.51,1.68,2.81,4.71,0.25,inf,0.09,8.18,inf
2023,3.44,8.16,0.38,inf,13.68,0.23,0.02,-0.13,-0.03,inf,6.5,0.22,4.66,0.14,inf,inf,inf,0.05,0.95,0.64,12.88,inf,1.68,2.81,4.71,0.25,inf,0.09,8.18,inf
