,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.82,0.24,1.46,1.61,0.09,0.08,-0.39,-0.1,10.56,11.64,-0.31,1.05,0.48,1.48,9.09,10.03,0.32,0.68,0.53,18.54,6.44,5.84,-11.57,-29.31,-9.31,5.22,0.8,2.47,inf
2015,inf,-2.61,7.75,-71.54,-10.1,1.08,0.81,-1.22,-0.96,-116.24,-16.41,-0.8,0.27,-0.02,4.84,-44.7,-6.31,0.1,0.9,0.19,7.1,-1.5,-10.65,-41.26,-297.23,-31.05,-29.36,0.75,-10.56,inf
2016,inf,-0.08,-0.11,-0.3,-0.19,0.06,0.04,-0.03,-0.04,-4.97,-3.12,-50.67,-37.24,0.0,inf,-4.68,-2.94,-0.32,1.32,0.12,-10.1,-20.29,-32.3,-71.67,-136.05,-43.31,-81.41,0.6,-19.2,inf
2017,inf,-0.4,-0.11,40.09,-0.69,0.07,0.05,-0.05,-0.06,554.47,-9.57,-14.48,-51.72,0.01,inf,514.37,-8.88,-0.48,1.48,0.12,8.33,0.18,-10.4,-17.96,-27.99,-13.49,-102.23,0.75,-15.15,inf
2018,inf,-0.16,-0.08,-0.49,-0.33,0.12,0.1,-0.06,-0.11,-5.7,-3.87,-51.76,-103.48,0.0,inf,-5.21,-3.54,-1.19,2.19,0.07,3.14,-24.59,-36.22,-74.17,-50.02,-59.38,183.86,0.8,-16.38,inf
2019,inf,-13.56,-1.28,1.93,14.51,0.23,0.15,-0.52,-0.19,5.66,42.47,-0.55,-5.81,inf,inf,3.73,27.96,-0.11,1.11,0.44,7.68,11.74,1.57,-1.67,-9.45,-1.08,3.81,0.65,-9.15,inf
2020,inf,-0.6,-0.37,-1.53,-0.84,0.19,0.12,-0.66,-0.16,-4.8,-2.63,-9.42,-15.23,inf,inf,-3.27,-1.79,-0.31,1.31,0.61,-1.27,-12.43,-22.66,-31.69,-61.84,-19.34,inf,0.61,-5.14,inf
2021,inf,-1.09,-0.43,-22.79,-3.28,0.22,0.22,-0.52,-0.32,-53.78,-7.73,-9.84,-25.07,inf,inf,-31.0,-4.46,-0.5,1.5,0.44,7.56,-0.96,-6.67,-19.95,-39.25,-19.76,35.02,0.99,11.76,inf
2022,inf,-1.22,-0.29,3.1,32.93,0.14,0.16,-0.32,-0.24,10.45,111.01,-7.82,-32.88,0.06,inf,7.35,78.08,-0.56,1.56,0.39,14.15,4.49,0.42,-11.45,-23.77,-13.39,-2.29,1.17,16.19,inf
2023,inf,-1.02,-0.24,2.61,27.73,0.12,0.14,-0.27,-0.2,9.96,105.81,-7.82,-32.88,0.05,inf,7.35,78.08,-0.56,1.56,0.39,14.15,4.49,0.42,-11.45,-23.77,-13.39,-2.29,1.17,16.19,inf
