,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3,1.44,2.82,0.24,0.76,1.04,8.11,5.23,2.67,2.62,10.29,2.5,4.03,0.95,13.51,-8.91
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.83,4.97,9.21,0.06,0.94,0.91,7.65,4.94,2.67,2.51,39.13,2.54,4.65,1.01,10.98,23.19
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.28,14.9,-48.2,0.07,0.93,0.63,7.63,2.36,-0.73,-8.14,-145.2,-10.53,-13.19,1.29,2.28,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.74,-7.19,-4.52,0.21,0.79,1.88,6.97,-6.12,-9.73,-3.87,-15.28,-3.22,-26.08,0.83,-2.71,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.16,23.01,-29.07,0.13,0.87,1.52,5.68,1.74,-1.37,-6.79,-53.67,-6.99,-6.76,1.03,-3.0,inf
2019,0.3,5.33,1.52,inf,5.58,0.23,0.27,3.15,3.15,inf,14.05,5.45,19.18,inf,3.35,7.58,17.01,0.16,0.84,1.17,1.21,5.25,2.34,-0.48,-4.04,-0.65,-3.15,1.35,2.0,inf
2020,inf,-0.5,-2.19,-5.79,-1.89,0.1,0.11,-0.21,-0.2,-42.1,-13.73,-19.85,-4.58,inf,inf,-36.31,-11.84,-0.05,1.05,0.47,2.99,-1.75,-5.35,-20.07,-433.86,-21.37,-8.87,1.06,-4.39,inf
2021,inf,-0.55,-0.46,-2.35,-1.34,0.09,0.14,-10.72,-0.22,-19.47,-11.08,-18.46,-21.98,inf,inf,-17.12,-9.74,-0.31,1.31,0.96,-5.72,-3.96,-6.95,-16.99,-83.97,-26.12,-14.69,1.54,0.55,inf
2022,inf,-0.07,-0.07,-0.15,-0.14,0.1,0.1,-0.07,-0.14,-2.57,-2.38,-62.23,-64.92,0.0,inf,-2.42,-2.24,-1.42,2.42,0.16,-24.83,-65.34,-70.47,-134.65,-95.87,-135.83,-384.4,1.01,-10.58,inf
2023,inf,-0.05,-0.05,-0.11,-0.1,0.07,0.07,-0.05,-0.1,-2.53,-2.35,-62.23,-64.92,0.0,inf,-2.42,-2.24,-1.42,2.42,0.16,-24.83,-65.34,-70.47,-134.65,-95.87,-135.83,-384.4,1.01,-10.58,inf
