,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,0.82,15.22,2.41,8.29,9.84,0.4,1.04,3.42,-3.56,11.52,13.67,10.81,68.18,-1.26,0.27,0.93,1.11,0.43,0.57,1.76,22.23,4.8,4.04,2.62,15.86,6.86,14.66,2.62,11.92,10.7
2015,0.88,15.13,1.99,6.7,8.14,0.34,0.9,3.05,-3.11,13.17,16.0,9.92,75.38,-1.83,0.25,0.83,1.01,0.45,0.55,1.71,22.74,5.15,4.24,2.28,13.15,5.96,14.86,2.61,10.84,8.03
2016,0.22,20.11,2.8,9.54,11.65,0.5,1.3,4.85,-4.63,26.11,31.89,11.64,83.71,1.17,0.17,0.59,0.73,0.46,0.54,1.59,24.44,5.26,4.3,2.49,13.9,6.46,15.29,2.59,9.61,7.23
2017,1.45,26.3,3.69,13.34,16.75,0.7,1.66,5.22,-6.42,16.1,20.21,13.12,93.6,2.07,0.23,0.84,1.06,0.45,0.55,1.75,29.46,5.22,4.16,2.65,14.01,6.29,13.63,2.38,8.18,4.89
2018,1.63,13.37,2.16,7.17,8.98,0.41,1.0,3.9,-3.67,10.54,13.2,16.46,101.84,0.53,0.22,0.73,0.91,0.46,0.54,1.55,29.44,5.75,4.59,3.08,16.16,7.5,15.54,2.43,6.92,5.96
2019,1.26,25.89,3.79,9.24,16.59,0.73,1.36,5.68,-3.26,14.07,25.27,17.0,116.07,inf,0.83,2.02,3.62,0.36,0.64,1.7,29.69,7.89,4.4,2.82,14.64,5.26,11.24,1.87,7.62,9.23
2020,0.73,55.14,3.06,14.75,33.6,1.1,1.41,4.43,-3.79,16.68,37.99,0.37,6.67,inf,0.21,1.03,2.36,0.46,0.54,2.03,29.22,7.45,3.27,1.99,5.56,2.56,5.37,1.28,7.26,4.4
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.53,6.96,inf,0.46,1.86,4.74,0.44,0.56,1.71,30.65,8.04,3.15,2.46,7.59,3.34,5.63,1.35,8.67,8.4
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.57,7.37,inf,0.64,2.22,5.2,0.41,0.59,1.55,31.14,8.07,3.44,2.16,7.79,3.16,6.53,1.46,12.06,7.62
2023,inf,32.43,2.53,8.7,20.4,0.7,1.02,5.09,-2.38,6.72,15.76,0.57,7.37,3.72,0.64,2.22,5.2,0.41,0.59,1.55,31.14,8.07,3.44,2.16,7.79,3.16,6.53,1.46,12.06,7.62
