,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.05,11.22,1.64,inf,23.03,0.69,0.44,3.62,-1.49,inf,7.28,2.71,18.55,-0.3,-1.12,inf,-15.75,0.27,0.73,inf,100.0,inf,2.98,6.11,14.6,3.91,-0.49,0.64,inf,22.45
2015,6.06,9.29,1.45,inf,27.17,0.6,0.4,2.17,-1.77,inf,-0.24,3.1,19.92,0.65,-1.45,inf,-27.42,0.28,0.72,1.34,100.0,inf,2.22,6.48,15.51,4.32,-1.1,0.67,inf,9.96
2016,4.94,9.5,1.24,inf,72.77,0.54,0.34,1.8,-1.4,inf,-9.49,2.83,21.65,-1.11,-1.4,inf,-82.26,0.28,0.72,inf,100.0,inf,0.74,5.67,13.08,3.61,-4.39,0.64,inf,9.56
2017,4.14,10.67,1.52,inf,29.22,0.7,0.41,1.88,-1.65,inf,1.35,3.41,23.86,0.53,-1.45,inf,-27.87,0.27,0.73,1.4,100.0,inf,2.38,6.52,14.27,3.8,-0.42,0.58,inf,10.03
2018,7.74,12.86,2.21,inf,13.59,0.95,0.55,3.27,-1.96,inf,4.88,4.05,23.64,0.68,-1.41,inf,-8.72,0.25,0.75,1.31,100.0,inf,6.96,7.35,17.15,4.29,5.02,0.58,inf,-1.38
2019,3.38,14.71,2.45,16.55,20.53,1.12,0.62,4.24,-2.04,8.23,10.21,4.27,25.58,inf,-1.23,-8.32,-10.32,0.25,0.75,1.27,100.0,6.78,5.46,7.63,16.68,4.22,4.11,0.55,4.76,9.51
2020,4.37,9.38,1.77,8.29,9.41,0.85,0.43,3.66,-1.37,2.8,3.18,5.22,27.74,inf,-1.17,-5.48,-6.22,0.24,0.76,1.21,100.0,10.27,9.04,9.07,18.83,4.6,8.56,0.51,3.79,11.01
2021,12.49,8.76,1.44,9.23,10.85,0.64,0.32,5.75,-0.87,3.17,3.73,2.39,14.48,inf,-0.95,-6.06,-7.12,0.22,0.8,1.09,100.0,6.91,5.88,7.28,16.49,3.71,11.49,0.51,5.64,11.02
2022,5.0,13.19,1.41,14.7,21.16,0.54,0.3,5.84,-0.84,4.68,6.73,1.76,16.46,-0.5,-0.96,-10.03,-14.43,0.21,0.79,1.09,100.0,3.67,2.55,4.09,10.72,2.25,5.15,0.55,10.41,0.61
2023,3.02,13.4,1.43,14.94,21.5,0.55,0.3,5.93,-0.85,4.91,7.07,1.76,16.46,-0.51,-0.96,-10.03,-14.43,0.21,0.79,1.09,100.0,3.67,2.55,4.09,10.66,2.25,5.15,0.55,10.41,0.61
