,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.15,9.82,0.74,inf,20.81,3.8,0.59,1.55,-1.01,inf,20.81,0.73,9.74,-0.74,inf,inf,inf,0.8,0.2,12.15,51.86,inf,18.27,38.71,7.52,6.03,inf,0.16,inf,inf
2015,2.57,16.55,0.58,inf,-7.89,3.12,0.45,1.31,-0.74,inf,-7.89,0.35,10.12,-0.32,inf,inf,inf,0.78,0.22,8.47,49.04,inf,-39.6,18.87,3.48,2.73,inf,0.14,28.39,21.34
2016,2.81,9.27,0.51,inf,11.68,2.97,0.4,1.2,-0.67,inf,11.68,0.58,10.46,0.15,inf,inf,inf,0.78,0.22,5.63,49.47,inf,25.46,32.09,5.5,4.29,inf,0.13,10.52,10.66
2017,1.4,8.0,0.92,inf,8.35,5.7,0.73,1.45,-1.73,inf,8.35,1.34,11.7,0.06,inf,inf,inf,0.79,0.21,7.23,54.61,inf,68.23,71.23,11.49,9.07,inf,0.13,1.65,34.08
2018,16.43,5.84,0.78,inf,5.91,3.12,0.63,1.23,-1.46,inf,5.91,1.6,12.04,0.31,inf,inf,inf,0.81,0.19,9.93,42.48,inf,52.76,53.34,13.29,10.78,inf,0.2,10.4,13.61
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.81,10.89,inf,-0.5,-2.94,-6.91,0.64,0.36,3.63,31.9,44.4,18.91,19.38,7.44,4.74,5.85,0.24,17.18,2.03
2020,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.47,10.37,inf,-0.34,-1.52,-2.9,0.63,0.37,3.56,32.32,64.91,33.94,13.11,4.5,2.85,8.53,0.22,13.76,5.78
2021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.43,15.67,inf,-0.54,-0.85,-1.06,0.62,0.38,3.26,33.95,147.24,117.16,80.03,34.68,21.6,29.1,0.27,30.52,56.7
2022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.44,15.46,inf,-0.06,-0.24,-0.31,0.5,0.5,1.72,49.32,43.9,33.31,17.62,9.33,4.63,8.91,0.26,34.1,1.41
2023,inf,10.08,0.94,inf,5.33,1.78,0.47,3.11,-0.73,inf,5.02,1.44,15.46,-0.12,-0.06,inf,-0.31,0.5,0.5,1.72,49.32,inf,33.31,17.62,9.33,4.63,8.91,0.26,34.1,1.41
