,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.2,9.61,1.09,3.16,5.45,0.74,0.32,8.14,-0.42,6.7,11.56,0.34,2.98,-0.6,1.22,3.54,6.11,0.3,0.7,1.2,30.15,23.28,13.5,7.66,11.37,3.37,5.61,0.44,16.11,20.85
2015,3.56,inf,1.27,2.9,5.37,0.66,0.3,-155.46,-0.39,inf,inf,0.0,2.38,-10.23,1.96,4.49,8.31,0.24,0.76,0.99,29.24,22.83,12.33,0.07,0.12,0.03,7.06,0.46,11.38,-57.17
2016,inf,-36.8,0.89,2.02,5.52,0.51,0.24,-364.03,-0.32,5.7,15.58,-0.06,2.67,0.02,1.62,3.66,10.0,0.27,0.73,1.0,27.13,25.33,9.26,-1.39,-2.42,-0.64,3.49,0.46,10.5,inf
2017,1.24,-3.07,0.97,3.27,57.85,0.39,0.22,7.59,-0.29,10.04,177.43,-0.65,2.04,0.0,2.01,6.78,119.69,0.23,0.77,1.14,26.29,11.79,0.67,-12.59,-31.75,-7.2,-0.17,0.57,12.19,inf
2018,inf,163.34,1.59,2.63,4.17,0.53,0.32,-7.51,-0.43,6.34,10.05,0.02,1.85,-1.59,2.24,3.71,5.88,0.2,0.8,0.86,28.21,20.01,12.63,0.32,0.97,0.2,9.28,0.61,9.07,-46.3
2019,0.57,-8.38,1.98,3.01,3.25,0.74,0.42,9.09,-0.62,6.32,6.82,-0.48,2.02,inf,2.16,3.29,3.55,0.21,0.79,1.17,29.86,24.62,22.82,-8.86,-23.65,-5.04,12.7,0.57,4.01,inf
2020,1.28,14.92,1.76,5.7,8.36,1.34,0.76,2.8,-1.33,6.7,9.82,0.36,3.06,inf,0.31,1.0,1.46,0.43,0.57,2.78,31.6,23.58,16.08,9.01,11.8,5.11,10.79,0.57,6.3,184.81
2021,5.13,6.21,1.85,3.35,4.06,1.1,0.75,2.88,-1.26,inf,inf,1.11,3.73,inf,0.4,0.73,0.89,0.4,0.6,2.78,39.36,32.9,27.14,17.77,29.8,12.06,17.89,0.68,15.63,inf
2022,7.94,5.24,1.76,2.9,3.42,1.18,0.56,2.14,-0.99,inf,inf,1.54,4.57,0.16,0.66,1.09,1.28,0.32,0.68,2.61,47.91,40.49,34.38,22.42,33.62,10.76,15.07,0.48,14.44,inf
2023,7.69,5.61,1.89,3.11,3.66,1.26,0.6,2.29,-1.06,4.2,4.94,1.54,4.57,0.17,0.66,1.09,1.28,0.32,0.68,2.61,47.91,40.49,34.38,22.42,33.62,10.76,15.07,0.48,14.44,inf
