,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-0.22,-0.11,-0.42,-0.41,4.54,0.25,-0.14,-0.27,-1.0,-0.98,-0.18,-0.37,0.0,inf,-0.65,-0.63,-2.33,3.33,0.04,20.28,inf,inf,inf,-49.39,-115.08,54.71,0.06,-39.97,inf
2015,inf,-40.54,-6.66,-139.67,-130.3,inf,19.68,-9.07,-20.29,-114.16,-106.5,-0.07,-0.45,0.68,inf,-3.26,-3.04,-2.95,3.96,0.01,34.29,-838.01,-898.31,inf,-16.44,-48.54,6.04,0.02,-55.43,inf
2016,inf,-15.58,-5.69,-75.75,-71.84,inf,9.68,-6.97,-9.84,-55.25,-52.4,-0.13,-0.35,-0.21,inf,inf,-0.96,-1.7,2.71,0.01,inf,inf,inf,inf,-36.51,-62.12,8.55,0.0,inf,inf
2017,inf,-2.98,-0.95,-4.24,-4.19,inf,2.94,-2.51,-3.03,-2.38,-2.35,-0.97,-3.05,-0.13,inf,-0.26,-0.26,-3.1,4.1,0.03,100.0,inf,inf,inf,-31.78,-98.48,26.19,0.0,-69.36,inf
2018,inf,-1.08,-0.22,-3.02,-2.83,3.17,0.34,-0.98,-0.55,-1.36,-1.28,-2.57,-12.54,0.02,inf,0.61,0.57,-1.56,2.56,0.51,14.81,-104.98,-111.77,-292.4,-20.47,-31.84,7.8,0.11,-25.2,inf
2019,inf,-38.59,-1.99,146.81,556.04,7.15,inf,-10.72,-5.75,146.7,555.62,-0.05,-0.88,inf,inf,-0.11,-0.42,-1.73,2.73,0.56,23.47,4.87,1.29,-18.53,-5.16,-8.91,-0.36,0.48,55.45,inf
2020,inf,-577.28,-12.19,556.11,inf,27.65,17.9,-139.82,-31.56,248.5,532.28,-0.02,-0.85,inf,inf,-0.79,-1.68,-1.47,2.47,0.77,19.77,4.97,2.32,-4.79,-2.11,-3.1,-1.02,0.65,117.05,inf
2021,inf,-263.87,-10.53,252.01,518.55,7.24,6.52,96.58,-13.49,123.63,254.39,-0.02,-0.54,inf,inf,-2.64,-5.43,-0.62,1.62,1.15,13.47,2.87,1.4,-2.75,-3.99,-2.47,-2.02,0.9,inf,inf
2022,inf,-20.82,-1.69,41.0,137.71,0.91,1.0,18.92,-1.83,22.96,77.11,-0.08,-1.0,-0.05,inf,-0.4,-1.36,-0.59,1.6,1.13,11.35,2.23,0.66,-4.4,-8.13,-4.81,-1.03,1.1,inf,inf
2023,inf,-51.43,-4.18,101.29,340.23,2.26,2.48,46.74,-4.51,43.48,146.05,-0.08,-1.0,-0.14,inf,-0.4,-1.36,-0.59,1.6,1.13,11.35,2.23,0.66,-4.4,-8.13,-4.81,-1.03,1.1,inf,inf
