,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.35,6.96,0.57,inf,5.95,0.67,0.24,0.58,-0.82,inf,8.4,1.41,17.09,-0.22,0.24,inf,2.45,0.42,0.54,2.42,29.45,inf,11.19,9.57,8.24,3.46,3.42,0.36,8.92,19.76
2015,8.57,29.33,0.24,inf,28.8,0.36,0.12,0.29,-0.35,inf,72.35,0.15,18.49,-0.33,0.37,inf,43.55,0.48,0.5,2.44,29.46,inf,1.23,1.21,0.82,0.4,-0.97,0.33,-4.6,-37.65
2016,4.35,-3.15,0.32,inf,-3.52,0.62,0.15,0.43,-0.36,inf,-9.79,-1.73,16.78,0.0,0.58,inf,-6.27,0.47,0.52,2.51,9.85,inf,-17.57,-19.62,-10.31,-4.8,-6.01,0.24,-12.36,inf
2017,inf,-2.89,0.42,inf,-3.19,0.93,0.23,1.22,-0.48,inf,-5.91,-2.13,14.65,-0.13,0.36,inf,-2.72,0.55,0.44,1.58,3.93,inf,-29.14,-32.17,-14.53,-8.03,-9.79,0.25,-21.32,inf
2018,inf,-9.23,0.39,inf,-7.05,1.32,0.2,0.96,-0.34,inf,-13.69,-0.6,14.06,0.13,0.37,inf,-6.64,0.52,0.47,2.11,22.21,inf,-18.71,-14.29,-4.24,-2.19,-4.34,0.15,-24.69,inf
2019,inf,428.72,1.12,115.06,81.07,2.16,0.48,1.69,-0.81,165.56,116.64,0.04,14.09,inf,0.49,50.49,35.58,0.43,0.57,3.14,26.29,1.87,2.66,0.5,0.26,0.11,-0.03,0.22,-14.86,-52.76
2020,0.08,344.48,0.82,98.11,41.82,1.61,0.32,1.73,-0.52,168.68,71.91,0.03,14.11,inf,0.59,70.57,30.08,0.39,0.6,1.97,21.11,1.64,3.85,0.47,0.24,0.09,0.29,0.2,-10.68,-26.18
2021,0.1,52.74,0.72,21.09,22.52,0.94,0.23,0.93,-0.45,43.36,46.3,0.19,14.26,inf,0.76,22.26,23.77,0.32,0.67,2.03,24.9,4.47,4.19,1.79,1.36,0.44,0.51,0.24,4.17,inf
2022,0.83,14.12,0.46,6.57,6.09,0.45,0.14,1.1,-0.21,19.21,17.81,0.49,15.11,0.09,0.91,12.63,11.71,0.29,0.7,1.58,24.84,6.88,7.42,3.2,3.34,0.97,2.34,0.3,18.15,inf
2023,1.06,11.01,0.36,5.12,4.75,0.35,0.11,0.86,-0.16,17.76,16.46,0.49,15.11,0.07,0.88,12.63,11.71,0.3,0.7,1.58,24.84,6.88,7.42,3.2,3.23,0.97,2.34,0.3,18.15,inf
