,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,0.21,0.18,inf,0.36,0.07,0.03,0.64,-0.04,inf,1.74,3.99,4.59,0.0,0.7,inf,1.39,0.16,0.75,1.18,19.39,inf,20.25,34.64,86.9,14.27,8.14,0.41,-3.08,190.05
2015,inf,1.26,0.22,0.85,0.85,0.06,0.04,0.58,-0.06,5.31,5.31,0.96,5.49,-0.02,1.16,4.46,4.46,0.18,0.74,1.33,12.9,7.42,7.42,4.98,17.48,3.16,8.26,0.63,3.66,inf
2016,2.5,6.22,0.34,1.58,1.58,0.13,0.07,2.05,-0.1,5.75,5.75,0.37,6.82,-0.1,0.9,4.17,4.17,0.21,0.71,1.15,14.05,8.14,8.14,2.06,5.49,1.15,7.49,0.56,7.67,inf
2017,0.62,53.65,2.0,8.21,8.21,0.66,0.4,9.74,-0.55,13.47,13.47,0.05,1.45,-1.77,1.28,5.26,5.26,0.2,0.72,1.18,13.09,8.1,8.1,1.24,3.72,0.75,6.09,0.6,19.77,inf
2018,0.18,35.74,4.38,7.97,12.08,1.42,0.86,9.12,-1.19,11.12,16.88,0.19,1.58,0.14,1.74,3.16,4.79,0.2,0.74,1.52,18.26,17.81,11.74,3.97,12.26,2.42,9.29,0.61,275.96,inf
2019,3.24,24.58,5.01,7.63,10.52,1.56,0.93,11.05,-1.26,10.65,14.68,0.35,1.7,inf,1.98,3.02,4.16,0.19,0.75,1.49,20.79,20.46,14.85,6.35,20.37,3.8,11.15,0.6,17.93,-15.99
2020,0.83,25.86,5.61,9.53,12.86,2.08,1.09,9.22,-1.7,11.63,15.7,0.43,1.99,inf,1.24,2.11,2.84,0.19,0.74,1.48,21.85,21.87,16.2,8.05,21.68,4.2,9.8,0.52,6.59,17.33
2021,14.95,10.1,3.71,3.88,4.73,0.9,0.56,7.14,-0.8,6.27,7.63,0.65,1.76,inf,2.47,2.38,2.9,0.14,0.78,1.29,24.1,23.15,19.01,8.91,39.84,5.55,16.12,0.62,14.67,53.63
2022,9.67,7.67,2.07,2.75,3.3,0.75,0.45,7.1,-0.62,4.91,5.89,0.7,2.61,0.88,2.32,2.16,2.59,0.15,0.78,1.31,28.86,27.38,22.83,9.83,38.6,5.88,17.98,0.6,10.99,67.95
2023,14.19,7.37,1.99,3.17,3.17,0.72,0.43,6.82,-0.59,5.76,5.76,0.7,2.61,-3.45,1.62,2.59,2.59,0.22,0.78,1.31,28.86,22.83,22.83,9.83,26.96,5.88,17.98,0.6,10.99,67.95
