,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-80.94,1.15,23.71,72.75,9.55,0.52,16.48,-0.6,42.17,129.36,-0.46,32.55,0.12,0.9,18.45,56.61,0.45,0.55,1.34,53.44,40.26,13.12,-11.79,-1.42,-0.64,0.45,0.05,53.94,inf
2015,inf,23.28,1.05,inf,5.85,6.72,0.46,-2.91,-0.5,inf,10.72,1.11,24.73,-0.05,0.87,inf,4.87,0.44,0.56,0.37,47.93,inf,114.87,28.84,4.5,1.96,5.01,0.07,61.91,139.56
2016,inf,-0.58,0.33,-0.97,-0.85,1.32,0.11,-0.2,-0.11,-5.2,-4.53,-10.37,18.4,0.0,1.42,-4.22,-3.69,0.33,0.67,0.04,6.11,-135.89,-155.75,-227.98,-56.32,-18.67,-16.92,0.08,67.58,inf
2017,inf,-0.64,0.93,-0.94,-0.92,0.99,0.25,-0.45,-0.26,-2.57,-2.53,-9.47,6.48,-0.19,1.63,-1.63,-1.61,0.27,0.73,0.08,7.82,-105.72,-107.38,-155.23,-146.13,-38.9,-43.17,0.25,44.72,inf
2018,inf,-3.52,-39.43,-5.77,-5.65,4.25,1.15,-6.59,-3.39,-6.5,-6.37,-6.16,-0.55,0.14,inf,-0.73,-0.72,-0.03,1.03,0.79,-17.53,-73.64,-75.25,-120.64,inf,-32.58,-160.79,0.27,25.72,inf
2019,inf,-1.65,-1.54,-3.07,-2.98,17.07,0.72,-0.58,-0.73,-5.91,-5.74,-7.29,-7.84,inf,inf,-2.85,-2.77,-0.47,1.47,0.01,32.42,-556.5,-572.97,inf,-92.99,-43.52,-120.77,0.04,-20.17,inf
2020,inf,8.68,-0.18,19.58,-70.24,2.76,0.08,0.71,-0.15,161.9,-580.68,1.61,-79.65,inf,inf,142.32,-510.44,-0.48,1.48,1.38,33.65,14.1,-3.93,31.82,-2.03,0.98,-1.17,0.03,-29.67,-28.28
2021,inf,8.44,-0.4,0.82,0.83,2.76,0.11,28.41,-0.17,3.47,3.5,0.84,-17.96,inf,inf,2.65,2.67,-0.29,1.29,1.01,13.83,336.64,334.4,32.71,-4.68,1.35,56.84,0.04,-27.95,inf
2022,inf,2.64,-0.81,0.78,0.97,2.86,0.25,-11.32,-0.29,2.16,2.7,2.3,-7.51,0.04,inf,1.38,1.73,-0.31,1.31,0.87,30.94,367.62,294.0,108.4,-30.6,9.41,133.4,0.09,-27.95,inf
2023,inf,2.19,-0.67,0.65,0.81,2.37,0.21,-9.37,-0.24,2.03,2.53,2.25,-7.35,0.04,inf,1.38,1.73,-0.31,1.31,0.87,30.94,367.62,294.0,108.4,-30.6,9.41,133.4,0.09,-27.95,inf
