,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,0.16,29.66,0.33,4.79,22.39,0.33,0.17,0.58,-0.38,12.67,59.21,0.1,8.59,0.07,0.55,7.88,36.82,0.5,0.5,2.06,25.81,6.91,1.48,1.12,1.13,0.56,0.43,0.5,6.41,-9.45
2015,1.45,20.75,0.19,4.0,-63.54,0.21,0.11,0.29,-0.25,11.63,-184.49,0.08,8.94,-1.53,0.37,7.62,-120.95,0.55,0.45,2.84,22.75,5.34,-0.34,1.03,0.93,0.51,-0.33,0.5,-2.07,-37.94
2016,0.89,-4.22,0.28,-16.66,-3.77,0.29,0.15,0.51,-0.36,-37.32,-8.44,-0.6,9.14,0.01,0.35,-20.65,-4.67,0.55,0.45,2.14,19.93,-1.71,-7.57,-6.76,-6.62,-3.66,-5.71,0.54,-1.44,inf
2017,1.04,13.42,0.79,6.2,9.86,0.75,0.47,1.62,-1.05,7.8,12.4,0.57,9.78,-0.07,0.2,1.6,2.54,0.6,0.4,2.11,28.18,12.12,7.62,5.6,5.87,3.5,3.82,0.63,2.35,inf
2018,8.81,6.31,0.76,6.68,11.51,0.71,0.43,1.58,-0.97,9.36,16.13,1.34,11.07,0.05,0.31,2.68,4.62,0.56,0.44,1.92,27.76,10.67,6.19,11.3,12.07,6.76,4.27,0.6,2.18,127.95
2019,6.38,8.51,1.46,7.99,10.56,1.44,0.81,3.02,-1.82,9.45,12.48,2.06,12.05,inf,0.27,1.46,1.92,0.55,0.44,1.92,27.26,18.03,13.65,16.94,17.12,9.48,6.16,0.56,3.37,78.11
2020,15.53,6.49,1.39,7.88,10.6,1.16,0.65,2.35,-1.67,9.37,12.6,2.38,11.09,inf,0.26,1.49,2.0,0.47,0.53,1.82,30.71,14.77,10.98,17.93,21.46,9.99,7.5,0.56,9.91,94.59
2021,4.22,6.63,1.4,5.32,6.38,0.98,0.69,2.3,-1.71,6.92,8.31,2.78,13.14,inf,0.42,1.6,1.93,0.49,0.51,2.02,32.29,18.35,15.29,14.73,21.15,10.43,13.08,0.71,18.71,inf
2022,5.84,5.72,1.12,3.82,4.54,0.77,0.55,1.56,-1.44,5.28,6.27,2.67,13.58,1.04,0.43,1.46,1.73,0.49,0.51,2.32,31.96,20.22,17.03,13.5,19.67,9.58,11.46,0.71,18.8,41.68
2023,5.43,6.85,1.35,4.58,5.44,0.93,0.66,1.86,-1.72,6.04,7.17,2.67,13.58,1.24,0.43,1.46,1.73,0.49,0.51,2.32,31.96,20.22,17.03,13.5,19.63,9.58,11.46,0.71,18.8,41.68
