,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-1.3,-0.22,inf,-1.55,1.02,0.76,-0.81,-1.12,inf,-1.81,-0.2,-1.19,0.02,inf,inf,-0.26,-3.48,4.48,0.25,-25.28,inf,-65.53,-78.02,-16.79,-58.37,14.65,0.75,-7.83,inf
2015,inf,-0.35,-0.11,inf,-0.57,0.24,0.45,-0.22,-0.82,inf,-0.72,-0.52,-1.69,0.0,inf,inf,-0.15,-4.26,5.27,0.17,-17.51,inf,-41.75,-67.96,-30.69,-130.8,19.41,1.92,-11.84,inf
2016,inf,-11.88,-3.14,inf,-11.53,9.44,10.48,-4.47,-35.21,inf,-11.61,-0.61,-2.3,-0.69,inf,inf,-0.08,-3.34,4.34,0.23,-26.58,inf,-81.89,-79.44,-26.44,-88.23,27.86,1.11,-21.29,inf
2017,inf,-31.19,-3.1,inf,-25.51,10.6,6.25,-3.77,-39.42,inf,-25.65,-0.25,-2.55,0.54,inf,inf,-0.14,-2.02,3.02,0.34,-3.58,inf,-41.53,-33.97,-9.94,-20.05,12.36,0.59,-17.91,inf
2018,inf,-1.14,-0.08,inf,-1.02,0.2,0.11,-0.09,-1.13,inf,-1.08,-2.62,-37.69,0.05,inf,inf,-0.06,-1.42,2.42,0.43,6.46,inf,-19.57,-17.5,-6.94,-9.85,7.8,0.56,54.24,inf
2019,inf,-1.52,-0.12,-1.82,-1.78,0.29,0.14,-0.15,-1.67,-1.82,-1.78,-3.38,-41.06,inf,inf,0.0,0.0,-1.12,2.12,0.49,3.2,-16.05,-16.45,-19.28,-8.22,-9.18,7.01,0.48,37.84,inf
2020,inf,-0.46,-0.06,-0.5,-0.49,0.13,0.06,-0.07,-0.81,-0.5,-0.49,-6.1,-47.16,inf,inf,0.0,0.0,-0.99,1.99,0.52,-7.38,-25.56,-25.8,-27.61,-12.94,-12.76,12.08,0.46,16.06,inf
2021,inf,-0.52,-0.05,-0.67,-0.66,0.09,0.05,-0.06,-0.69,-0.67,-0.66,-5.35,-52.51,inf,inf,0.0,0.0,-0.85,1.85,0.55,-2.78,-12.89,-13.07,-16.36,-10.18,-8.62,8.13,0.53,25.45,inf
2022,inf,-0.13,-0.03,-0.13,-0.13,0.02,0.02,-0.03,-0.36,-0.38,-0.38,-13.45,-56.95,0.0,inf,-0.25,-0.25,-0.76,1.77,0.57,-11.88,-18.53,-18.63,-19.13,-23.61,-18.05,24.39,0.94,25.45,inf
2023,inf,-0.12,-0.03,-0.12,-0.12,0.02,0.02,-0.03,-0.34,-0.38,-0.37,-13.45,-56.95,0.0,inf,-0.25,-0.25,-0.76,1.77,0.57,-11.88,-18.53,-18.63,-19.13,-23.61,-18.05,24.39,0.94,25.45,inf
