,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-2.35,0.82,inf,-4.1,0.9,0.21,-244.2,-0.41,inf,-10.03,-1.44,4.13,0.0,1.18,inf,-5.93,0.26,0.73,1.0,12.53,inf,-21.91,-38.31,-34.94,-9.12,-9.34,0.24,3.2,inf
2015,inf,-0.1,0.04,inf,-0.16,0.04,0.01,-0.06,-0.02,inf,-5.32,-6.51,14.3,0.01,1.4,inf,-5.15,0.23,0.76,0.7,11.43,inf,-27.18,-45.51,-45.52,-10.61,-11.03,0.23,-12.2,inf
2016,inf,-0.09,0.06,inf,-0.15,0.09,0.01,-0.07,-0.02,inf,-6.49,-29.99,41.66,0.01,2.77,inf,-6.34,0.15,0.85,0.75,6.48,inf,-58.02,-95.61,-71.98,-10.68,-11.27,0.11,-28.29,inf
2017,inf,-0.36,0.33,inf,-0.28,0.38,0.03,-0.23,-0.05,inf,-4.2,-19.76,21.96,0.01,4.54,inf,-3.92,0.1,0.9,0.73,-21.0,inf,-133.67,-103.95,-89.99,-8.83,-20.74,0.08,-30.47,inf
2018,inf,-0.15,-0.38,inf,-0.21,0.61,0.04,0.35,-0.07,inf,-3.71,-35.8,-13.84,0.0,inf,inf,-3.5,-0.09,1.1,1.26,-23.01,inf,-294.8,-412.88,-258.61,-24.15,-32.27,0.06,-41.29,inf
2019,inf,-0.5,-0.29,-0.54,-0.53,2.57,0.08,-0.18,-0.13,-5.38,-5.24,-18.14,-31.98,inf,inf,-4.84,-4.71,-0.27,1.28,0.49,-4.26,-474.07,-487.2,-511.79,-56.71,-15.36,-33.75,0.03,-48.12,inf
2020,inf,7.61,-0.21,-0.3,-0.3,1.49,0.07,-0.09,-0.11,-2.52,-2.48,0.87,-31.11,inf,inf,-2.21,-2.18,-0.33,1.34,0.33,44.54,-492.58,-499.55,19.62,-2.8,0.92,-132.0,0.05,-42.64,inf
2021,inf,-0.85,-0.22,-0.61,-0.6,2.73,0.13,-0.14,-0.2,-2.82,-2.8,-11.12,-42.22,inf,inf,-2.22,-2.2,-0.57,1.55,0.29,-23.02,-450.22,-454.57,-320.93,-26.33,-15.05,255.28,0.05,-35.64,inf
2022,inf,-0.13,-0.05,-0.16,-0.16,inf,0.08,-0.05,-0.19,-1.77,-1.76,-21.33,-55.42,0.0,inf,-1.61,-1.61,-1.64,2.65,0.26,98.55,966.44,970.02,inf,-38.49,-63.31,71.9,-0.06,inf,inf
2023,inf,-0.14,-0.05,-0.16,-0.16,inf,0.09,-0.06,-0.19,-1.77,-1.77,-21.33,-55.42,0.0,inf,-1.61,-1.61,-1.65,2.65,0.26,98.55,966.44,970.02,inf,-38.48,-63.31,71.9,-0.06,inf,inf
