,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,31.16,474.88,34.14,inf,414.94,45.37,5.14,inf,-5.76,inf,416.8,0.01,0.2,-290.78,inf,inf,inf,0.15,0.85,inf,46.21,inf,10.93,9.55,7.19,1.08,inf,0.11,8.41,0.44
2015,5.57,8.2,1.01,inf,-24.96,1.15,0.13,inf,-0.16,inf,-22.67,1.08,8.73,0.11,inf,inf,inf,0.13,0.87,inf,44.85,inf,-4.6,14.0,12.32,1.62,inf,0.12,11.3,5.79
2016,2.29,19.96,1.74,inf,8.94,1.9,0.23,inf,-0.28,inf,6.82,0.97,11.12,-0.8,inf,inf,inf,0.13,0.87,inf,39.65,inf,21.24,9.51,8.72,1.16,inf,0.12,8.33,-1.07
2017,3.81,15.67,1.61,inf,9.64,1.96,0.22,inf,-0.26,inf,8.31,1.18,11.46,0.72,inf,inf,inf,0.13,0.87,inf,48.93,inf,20.32,12.5,10.3,1.38,inf,0.11,6.29,10.23
2018,3.78,13.24,1.83,inf,10.47,2.36,0.23,inf,-0.24,inf,10.06,1.68,12.14,0.32,inf,inf,inf,0.13,0.87,inf,59.48,inf,22.57,17.85,13.83,1.74,inf,0.1,6.59,17.06
2019,3.91,11.63,2.74,7.74,8.57,2.62,0.23,-2.13,-0.57,7.53,8.34,2.19,9.29,inf,inf,inf,inf,0.13,0.87,0.03,60.85,33.86,30.58,22.52,16.98,2.15,inf,0.1,4.33,23.85
2020,6.17,12.1,1.91,inf,16.81,2.59,0.16,-0.34,-0.2,inf,17.39,1.79,11.32,inf,inf,inf,inf,0.09,0.91,0.26,70.8,inf,15.39,21.38,15.81,1.36,inf,0.06,-2.12,6.52
2021,9.5,6.85,0.98,inf,4.31,1.37,0.11,-0.24,-0.13,inf,4.54,2.08,14.54,inf,inf,inf,inf,0.11,0.89,0.23,65.8,inf,31.74,19.95,14.27,1.59,inf,0.08,0.22,16.23
2022,8.03,6.96,1.22,inf,5.09,0.87,0.09,-0.13,-0.11,inf,5.4,1.91,10.93,-0.89,inf,inf,inf,0.1,0.82,0.44,41.23,inf,16.99,12.44,13.01,1.35,inf,0.11,10.04,9.95
2023,6.95,7.6,1.15,inf,7.29,1.05,0.09,-0.12,-0.1,inf,7.8,1.65,10.93,-0.43,inf,inf,inf,0.08,0.92,0.14,20.14,inf,14.46,13.87,15.08,1.16,inf,0.08,10.04,6.73
