,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,8.81,6.56,0.73,3.31,4.18,1.06,0.37,-13.43,-0.4,inf,inf,0.88,7.98,1.41,0.47,2.16,2.73,0.5,0.5,0.73,57.39,31.94,25.25,16.11,11.09,5.58,9.36,0.35,13.5,25.05
2015,15.52,3.64,0.38,1.79,2.28,0.54,0.19,-512.08,-0.21,inf,inf,0.92,8.77,0.91,0.52,2.43,3.1,0.51,0.49,1.0,54.73,30.09,23.55,14.76,10.49,5.32,9.18,0.36,14.95,24.1
2016,5.86,8.17,1.07,4.38,5.37,1.47,0.54,15.07,-0.63,inf,inf,1.32,10.09,0.19,0.43,1.77,2.17,0.51,0.49,1.35,58.44,33.67,27.43,18.03,13.04,6.63,10.52,0.37,14.82,17.13
2017,5.66,8.59,1.14,4.25,5.19,1.52,0.58,-338.15,-0.66,5.93,7.23,1.36,10.23,0.91,0.42,1.58,1.92,0.51,0.49,0.99,59.78,35.8,29.36,17.73,13.32,6.78,11.54,0.38,12.75,15.37
2018,6.36,6.04,0.94,3.27,3.93,1.3,0.5,-18.31,-0.55,5.25,6.3,1.77,11.35,0.2,0.43,1.49,1.78,0.53,0.47,0.78,59.64,39.54,32.93,21.44,15.61,8.28,12.94,0.39,11.92,17.24
2019,4.16,9.83,1.72,5.37,6.5,2.25,0.89,-88.02,-0.99,6.59,7.97,2.14,12.26,inf,0.45,1.42,1.72,0.52,0.48,0.91,60.64,41.87,34.6,22.87,17.49,9.05,13.62,0.4,12.53,20.7
2020,4.04,7.6,1.09,3.91,4.82,1.58,0.57,24.63,-0.66,5.43,6.69,0.66,4.59,inf,0.4,1.43,1.77,0.53,0.47,1.21,59.97,40.3,32.72,20.76,14.35,7.55,11.34,0.36,10.07,17.84
2021,5.75,4.97,0.75,2.57,3.11,1.12,0.4,8.67,-0.47,3.92,4.75,0.78,5.18,inf,0.4,1.38,1.67,0.53,0.47,1.48,59.27,43.74,36.1,22.63,15.05,8.04,12.16,0.36,8.4,13.44
2022,8.42,4.79,0.63,2.48,3.08,0.97,0.33,6.57,-0.39,4.19,5.22,0.76,5.81,-2.16,0.44,1.74,2.17,0.53,0.47,1.52,57.99,39.22,31.52,20.3,13.11,6.91,10.05,0.34,7.96,10.91
2023,8.47,4.76,0.62,2.47,3.07,0.97,0.33,6.53,-0.39,4.2,5.23,0.76,5.81,-2.15,0.44,1.74,2.17,0.53,0.47,1.52,57.99,39.22,31.52,20.3,13.11,6.91,10.05,0.34,7.96,10.91
