,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.68,inf,4.74,0.44,0.56,inf,31.91,inf,17.04,8.05,6.79,2.97,6.39,0.37,5.5,-9.75
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.84,inf,3.77,0.41,0.59,inf,29.46,inf,25.99,4.58,3.91,1.59,11.15,0.35,4.88,-19.94
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.65,inf,2.94,0.42,0.58,inf,36.07,inf,24.33,20.9,19.11,8.02,8.21,0.38,7.24,19.22
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.56,inf,2.48,0.44,0.56,0.96,39.9,inf,27.12,17.25,14.39,6.37,10.05,0.37,6.35,5.67
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.52,inf,1.96,0.45,0.55,1.04,43.51,inf,32.18,17.63,14.5,6.51,12.53,0.37,7.29,8.07
2019,1.91,10.84,1.9,inf,6.47,2.28,0.9,54.05,54.05,inf,8.09,5.59,31.9,inf,0.51,1.47,1.92,0.47,0.53,0.76,43.63,41.66,31.76,18.73,15.56,7.25,12.62,0.39,9.91,30.11
2020,3.1,31.21,1.33,4.65,6.76,1.71,0.6,56.18,-0.69,6.71,9.76,1.42,33.35,inf,0.59,2.06,2.99,0.45,0.55,1.09,37.18,36.69,25.24,5.47,4.27,1.93,10.34,0.35,8.73,12.66
2021,0.99,11.91,1.1,4.32,6.7,1.41,0.52,19.48,-0.59,6.62,10.26,3.37,36.48,inf,0.58,2.29,3.56,0.47,0.53,1.28,34.33,32.58,21.02,11.83,9.25,4.34,7.58,0.37,6.69,-4.79
2022,1.65,12.52,1.43,5.51,8.41,1.77,0.68,62.28,-0.78,7.68,11.73,4.57,39.99,0.35,0.56,2.17,3.32,0.48,0.52,1.09,34.93,32.17,21.06,14.15,11.42,5.46,7.55,0.39,8.59,4.38
2023,1.86,11.08,1.27,4.87,7.45,1.57,0.6,55.14,-0.69,7.05,10.77,4.57,39.99,0.31,0.56,2.17,3.32,0.48,0.52,1.09,34.93,32.17,21.06,14.15,11.42,5.46,7.55,0.39,8.59,4.38
