,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,5.86,6.18,0.84,2.75,3.84,0.46,0.33,0.95,-0.82,inf,inf,0.85,6.25,-0.51,0.54,1.76,2.46,0.39,0.61,2.4,29.97,16.59,11.87,7.37,13.56,5.34,7.99,0.72,14.7,9.38
2015,6.56,5.15,0.57,2.22,3.28,0.38,0.25,0.61,-0.65,5.68,8.4,0.75,6.86,-0.47,0.38,1.48,2.19,0.44,0.56,2.85,27.71,17.23,11.65,7.42,10.99,4.79,6.91,0.65,1.71,0.18
2016,3.1,8.81,0.59,3.66,7.01,0.47,0.29,0.8,-0.76,inf,inf,0.48,7.16,-0.24,0.2,1.26,2.42,0.49,0.51,2.41,23.15,12.74,6.65,5.29,6.71,3.27,4.22,0.62,-3.78,-8.98
2017,2.32,10.96,0.9,4.82,7.55,0.64,0.41,0.9,-1.19,inf,inf,0.63,7.63,0.35,0.23,1.23,1.93,0.45,0.55,3.26,23.14,13.29,8.48,5.84,8.23,3.72,5.13,0.64,1.21,-2.67
2018,4.46,6.35,0.83,3.66,5.06,0.47,0.35,0.84,-0.97,inf,inf,1.1,8.47,0.08,0.4,1.77,2.45,0.42,0.58,2.76,23.78,12.89,9.3,7.42,12.99,5.44,8.31,0.73,3.1,2.69
2019,2.62,9.32,1.46,6.57,9.39,0.85,0.65,1.75,-1.68,inf,inf,1.09,6.94,inf,0.35,1.59,2.27,0.44,0.56,2.51,21.77,12.98,9.09,9.16,15.67,6.95,6.93,0.76,7.65,12.44
2020,2.29,8.5,1.62,6.46,8.39,1.15,0.68,1.84,-1.96,inf,inf,1.59,8.31,inf,0.33,1.31,1.7,0.42,0.58,2.28,22.97,17.75,13.67,13.49,19.1,7.96,7.62,0.59,10.16,24.14
2021,2.22,7.8,1.65,5.14,6.25,0.88,0.69,1.59,-1.99,inf,inf,1.08,5.08,inf,0.53,1.65,2.0,0.42,0.58,2.96,22.24,17.15,14.1,11.3,21.21,8.84,12.49,0.78,24.09,44.44
2022,4.6,6.23,1.51,3.85,4.44,0.8,0.71,1.71,-2.08,inf,inf,0.76,3.12,0.16,0.17,0.43,0.49,0.47,0.53,2.71,25.96,20.91,18.11,12.9,24.22,11.39,17.84,0.88,24.97,46.42
2023,6.33,5.86,1.42,3.62,4.18,0.76,0.67,1.61,-1.96,41.53,47.97,0.76,3.12,0.15,0.17,0.43,0.49,0.47,0.53,2.71,25.96,20.91,18.11,12.9,24.22,11.39,17.84,0.88,24.97,46.42
