,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.85,inf,8.73,0.14,0.86,1.53,17.92,inf,8.31,1.31,6.93,0.97,6.72,0.74,30.25,2.85
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.57,inf,7.99,0.12,0.88,1.4,18.99,inf,9.74,0.78,4.59,0.53,7.65,0.69,24.18,-12.85
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.65,inf,10.57,0.07,0.93,inf,19.89,inf,7.65,-2.81,-30.08,-2.07,6.25,0.74,22.05,inf
2017,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.5,inf,8.28,0.06,0.9,1.43,20.48,inf,9.71,-0.04,-0.4,-0.02,7.27,0.63,12.53,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.5,inf,7.44,0.05,0.92,1.78,21.87,inf,11.9,1.63,17.43,0.83,6.57,0.51,11.21,7.0
2019,0.58,21.41,2.41,inf,4.97,0.6,0.27,1.27,1.27,inf,12.03,1.25,11.12,inf,6.46,4.11,7.26,0.07,0.88,1.9,21.26,21.86,12.38,2.33,16.77,1.11,6.43,0.48,11.83,25.54
2020,0.69,26.49,2.27,3.46,7.1,0.75,0.29,1.22,-0.52,7.85,16.12,1.34,15.64,inf,4.91,4.39,9.02,0.07,0.87,2.08,20.6,21.55,10.5,2.81,14.58,1.08,3.83,0.38,10.36,42.63
2021,3.83,11.56,2.7,2.27,3.04,0.69,0.2,0.58,-0.39,6.02,8.06,1.01,4.32,inf,4.47,3.75,5.02,0.07,0.88,3.3,32.34,30.23,22.58,5.93,23.39,1.71,6.33,0.29,16.28,inf
2022,9.67,11.76,1.02,0.81,1.11,0.23,0.09,0.74,-0.14,4.68,6.4,0.58,6.66,-0.28,9.4,3.87,5.29,0.05,0.91,1.55,31.13,28.71,20.99,1.98,16.73,0.78,11.17,0.4,27.43,inf
2023,8.74,13.01,1.12,0.9,1.23,0.26,0.1,0.82,-0.16,4.76,6.52,0.58,6.66,-0.31,4.85,3.87,5.29,0.09,0.91,1.55,31.13,28.71,20.99,1.98,8.64,0.78,11.17,0.4,27.43,inf
