,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,2.75,20.54,0.63,4.8,7.31,0.93,0.31,5.16,-0.48,8.1,12.34,0.69,22.28,-0.71,0.44,3.3,5.03,0.49,0.47,1.2,22.22,19.39,12.73,4.53,3.08,1.51,4.61,0.33,20.59,70.91
2015,1.7,13.28,0.74,4.15,5.7,0.92,0.31,3.79,-0.52,7.15,9.82,1.24,22.3,0.17,0.53,3.0,4.12,0.42,0.55,1.25,24.59,22.27,16.21,6.96,5.56,2.31,5.62,0.33,14.66,32.58
2016,4.14,47.79,0.58,6.67,12.97,0.86,0.26,2.9,-0.46,9.75,18.96,0.3,24.78,-0.63,0.27,3.08,5.99,0.45,0.52,1.27,14.85,12.93,6.65,1.8,1.22,0.55,2.0,0.3,10.54,-18.18
2017,8.31,7.4,1.05,inf,4.44,1.19,0.5,4.48,-0.87,inf,5.86,3.6,25.41,0.01,0.33,inf,1.42,0.47,0.49,1.35,30.51,inf,26.73,16.05,14.18,6.73,10.76,0.42,14.69,56.38
2018,5.1,10.46,1.54,inf,6.06,1.41,0.69,5.77,-1.26,inf,7.53,4.0,27.26,1.5,0.37,inf,1.46,0.45,0.51,1.37,29.96,inf,23.3,13.5,14.67,6.62,10.89,0.49,19.03,31.88
2019,3.82,15.17,1.7,7.11,8.46,1.55,0.68,4.51,-1.22,8.58,10.21,1.63,14.61,inf,0.35,1.47,1.75,0.4,0.57,1.51,25.76,21.85,18.37,10.24,11.19,4.48,9.48,0.44,15.19,35.62
2020,3.59,10.71,1.78,5.81,6.7,1.35,0.61,2.81,-1.19,6.71,7.74,2.56,15.43,inf,0.28,0.9,1.04,0.34,0.63,1.8,27.63,23.25,20.16,12.62,16.62,5.69,10.82,0.45,17.07,31.87
2021,2.36,8.19,2.47,4.22,4.54,1.38,0.68,6.81,-1.12,5.41,5.82,5.5,18.25,inf,0.69,1.19,1.28,0.27,0.71,1.33,35.54,32.56,30.25,16.79,30.13,8.25,23.31,0.49,30.68,104.16
2022,5.91,7.86,2.04,3.71,3.98,1.04,0.67,4.08,-1.27,4.54,4.86,5.97,23.05,0.41,0.48,0.83,0.89,0.31,0.67,1.53,32.65,27.98,26.12,13.22,27.56,8.52,24.38,0.64,34.0,28.89
2023,6.08,7.64,1.98,inf,3.87,1.01,0.65,3.96,-1.24,inf,4.75,5.97,23.05,0.4,0.45,inf,0.89,0.33,0.67,1.53,32.65,inf,26.12,13.22,25.89,8.52,24.38,0.64,34.0,28.89
