,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,45.66,7.48,1.04,9.67,11.23,0.48,0.73,1.45,-3.18,inf,inf,4.1,29.61,-0.33,-0.52,-4.8,-5.57,0.71,0.29,2.92,22.83,4.96,4.27,6.41,13.86,9.8,5.69,1.53,15.24,6.37
2015,10.34,-5.28,0.89,-3.24,-3.06,0.5,0.63,1.52,-1.97,inf,inf,-4.28,25.3,0.03,-0.46,1.67,1.58,0.71,0.29,2.59,16.12,-15.4,-16.29,-9.45,-16.93,-12.0,-30.14,1.27,6.21,inf
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-2.25,22.29,inf,-0.37,10.5,7.17,0.71,0.29,3.35,28.67,-2.28,-3.34,-6.42,-9.82,-7.01,-7.89,1.09,-0.79,inf
2017,inf,12.28,0.69,94.82,-474.11,0.8,0.49,1.08,-1.24,inf,inf,1.3,23.11,-0.08,-0.34,-46.86,234.31,0.71,0.29,3.99,30.53,0.84,-0.17,6.49,5.64,3.99,-0.3,0.61,-15.89,-50.08
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.84,24.66,inf,-0.42,-17.97,-25.3,0.75,0.25,3.61,31.97,2.92,2.08,14.27,11.5,8.67,1.39,0.61,-21.91,-11.84
2019,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.78,21.05,inf,-0.53,-6.31,-10.09,0.7,0.3,3.1,31.97,6.83,4.27,6.9,8.48,5.95,4.73,0.86,-16.58,-15.34
2020,1.85,5.81,1.75,5.99,6.6,1.91,1.25,3.02,-3.13,inf,inf,8.58,28.48,inf,-0.63,-2.16,-2.38,0.71,0.29,3.21,27.94,31.83,28.87,32.81,30.15,21.51,24.18,0.66,-10.4,inf
2021,23.65,6.42,1.35,5.46,6.1,1.08,0.92,2.98,-1.89,inf,inf,5.61,26.77,inf,-0.48,-1.94,-2.16,0.68,0.32,2.5,35.77,19.74,17.66,16.79,20.96,14.33,15.74,0.85,-0.97,inf
2022,21.3,4.67,1.32,3.72,4.1,0.63,0.84,2.69,-1.97,2.89,3.18,6.67,23.56,0.03,-0.52,-1.45,-1.6,0.64,0.36,2.21,38.27,17.04,15.46,13.58,28.31,18.06,18.11,1.33,-0.97,inf
2023,18.43,5.4,1.53,4.3,4.74,0.73,0.97,3.11,-2.28,2.98,3.28,6.67,23.56,0.03,-0.52,-1.45,-1.6,0.64,0.36,2.21,38.27,17.04,15.46,13.58,28.31,18.06,18.11,1.33,-0.97,inf
