,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,3.45,10.5,1.33,inf,4.21,2.69,0.24,1.89,-0.3,inf,12.04,1.18,9.32,-0.31,2.47,inf,7.82,0.18,0.65,2.33,66.22,inf,63.95,25.65,12.66,2.25,5.4,0.09,21.45,9.4
2015,3.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.6,inf,7.39,0.25,0.57,1.38,65.95,inf,67.65,6.07,1.94,0.48,4.99,0.08,9.67,-24.32
2016,0.94,-55.55,1.01,inf,4.11,2.81,0.25,17.76,-0.28,inf,11.23,-0.18,9.82,0.29,1.74,inf,7.12,0.24,0.56,1.13,61.14,inf,68.35,-5.06,-1.81,-0.44,5.63,0.09,6.37,inf
2017,64.92,6.11,0.92,inf,2.26,2.39,0.29,8.16,-0.34,inf,5.06,1.46,9.7,-0.01,1.14,inf,2.8,0.32,0.48,1.39,58.14,inf,105.56,39.04,15.0,4.79,12.28,0.12,3.66,2.63
2018,23.05,inf,1.0,4.87,4.89,2.13,0.29,7.33,-0.34,11.19,11.23,-0.01,8.74,11.68,1.29,6.32,6.34,0.29,0.51,1.39,58.16,43.63,43.49,-0.18,-0.08,-0.02,5.03,0.14,8.73,inf
2019,inf,92.67,1.6,11.22,11.22,6.46,0.57,4.08,-0.71,15.29,15.29,0.27,15.91,inf,0.58,4.08,4.08,0.36,0.4,3.88,65.32,57.58,57.58,6.97,1.72,0.62,4.37,0.09,4.28,-19.65
2020,6.81,41.28,1.28,8.56,8.56,4.3,0.42,6.41,-0.48,12.96,12.96,0.33,10.66,inf,0.66,4.4,4.4,0.33,0.4,2.57,63.04,50.22,50.22,10.42,3.11,1.03,4.79,0.1,4.82,16.8
2021,114.83,0.85,0.66,inf,0.67,0.48,0.22,1.87,-0.28,inf,1.2,8.43,10.91,inf,0.52,inf,0.53,0.34,0.43,2.78,72.2,inf,70.87,55.79,77.27,26.3,35.25,0.47,40.5,inf
2022,12.63,-11.11,0.25,inf,4.43,1.34,0.16,1.75,-0.18,inf,9.25,-0.37,16.87,0.11,0.45,inf,4.82,0.37,0.37,4.84,43.73,inf,30.12,-12.01,-3.73,-1.4,3.23,0.12,1.23,inf
2023,16.43,-8.54,0.19,inf,3.41,1.03,0.12,1.34,-0.13,inf,8.23,-0.37,16.87,0.08,0.27,inf,4.82,0.63,0.37,4.84,43.73,inf,30.12,-12.01,-2.21,-1.4,3.23,0.12,1.23,inf
