,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.16,6.75,0.88,4.09,inf,0.89,2.99,2.47,0.49,0.51,2.38,88.58,83.83,101.32,60.49,21.42,10.45,16.34,0.17,11.43,20.9
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,7.04,6.06,0.88,4.24,inf,0.81,2.68,2.3,0.49,0.51,2.06,92.32,85.73,99.68,58.96,20.78,10.26,17.11,0.17,14.07,16.23
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.08,7.54,0.83,4.17,inf,0.74,2.8,2.33,0.51,0.49,1.82,89.27,81.86,98.57,61.97,20.01,10.25,16.62,0.17,6.88,11.72
2017,8.66,10.84,1.62,9.23,7.59,6.53,0.87,5.4,-1.15,13.52,11.12,0.63,4.21,-0.44,0.68,3.87,3.18,0.54,0.46,3.02,81.64,70.71,86.0,60.19,14.91,8.05,11.84,0.13,-0.9,1.93
2018,12.22,7.33,1.72,6.92,5.49,4.8,0.91,6.13,-1.17,10.05,7.98,1.04,4.42,0.11,0.72,2.89,2.29,0.53,0.47,2.98,77.84,69.41,87.44,65.51,23.43,12.43,16.29,0.19,2.46,3.71
2019,6.0,10.83,2.2,9.82,7.72,6.05,0.97,4.22,-1.42,14.48,11.39,0.97,4.77,inf,1.07,4.76,3.74,0.44,0.56,3.58,68.02,61.57,78.27,55.82,20.33,8.92,12.28,0.16,3.71,2.06
2020,9.57,5.11,1.92,4.88,3.62,3.25,0.82,7.62,-0.98,7.11,5.27,2.19,5.83,inf,0.89,2.26,1.68,0.43,0.57,2.8,70.57,66.53,89.71,63.54,37.55,16.04,22.3,0.25,18.22,20.0
2021,12.33,5.69,1.88,4.72,3.66,3.63,0.79,17.53,-0.91,7.1,5.52,2.14,6.47,inf,0.96,2.41,1.87,0.42,0.58,1.51,81.31,76.84,98.94,63.76,33.12,13.93,22.42,0.22,20.07,20.76
2022,13.89,8.31,1.83,6.36,4.93,4.6,0.7,5.82,-0.85,10.05,7.79,1.4,6.36,-0.24,1.08,3.74,2.9,0.38,0.62,3.02,80.95,72.3,93.3,55.39,22.06,8.37,14.85,0.15,19.43,17.46
2023,17.68,8.32,1.84,6.39,4.94,4.61,0.7,5.83,-0.85,10.11,7.81,1.4,6.36,-0.24,1.08,3.75,2.9,0.38,0.62,3.02,80.95,72.12,93.3,55.39,22.06,8.37,14.85,0.15,19.43,17.46
