,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,4.75,13.02,1.3,inf,9.23,1.46,0.76,1.75,-1.77,inf,11.37,0.59,5.92,0.28,0.3,inf,2.13,0.58,0.42,4.03,55.58,inf,15.77,11.18,10.01,5.8,8.81,0.52,18.72,6.16
2015,8.29,12.91,0.61,inf,8.98,0.72,0.37,0.91,-0.82,inf,13.64,0.28,5.89,-0.25,0.32,inf,4.66,0.6,0.4,3.7,52.05,inf,7.97,5.54,4.76,2.84,3.59,0.51,12.72,-9.22
2016,2.7,-145.98,0.61,inf,33.07,0.78,0.38,1.08,-0.79,inf,42.85,-0.02,5.91,1.34,0.18,inf,9.77,0.62,0.38,3.15,46.99,inf,2.37,-0.54,-0.42,-0.26,0.84,0.49,6.61,inf
2017,inf,-23.06,0.6,inf,-21.82,0.82,0.39,1.19,-0.74,inf,-27.86,-0.15,5.91,-0.04,0.17,inf,-6.05,0.65,0.35,3.26,45.6,inf,-3.76,-3.55,-2.6,-1.69,-2.87,0.48,1.69,inf
2018,inf,13.44,0.41,inf,-66.55,0.63,0.24,0.76,-0.48,inf,-76.52,0.18,5.93,-0.06,0.06,inf,-9.97,0.59,0.41,2.87,47.98,inf,-0.95,4.7,3.09,1.81,-2.78,0.39,-6.76,-14.54
2019,inf,-2.3,0.82,-2.47,-2.23,0.89,0.42,1.23,-1.0,-2.83,-2.56,-1.56,4.39,inf,0.12,-0.36,-0.32,0.51,0.49,2.41,34.55,-36.17,-40.05,-38.79,-35.61,-18.14,-30.42,0.47,-5.22,inf
2020,inf,-3.62,0.32,69.38,-10.61,0.42,0.17,0.37,-0.4,111.28,-17.02,-0.36,4.03,inf,0.19,41.9,-6.41,0.53,0.47,5.19,45.95,0.6,-3.93,-11.51,-8.9,-4.7,-3.38,0.41,-9.24,inf
2021,inf,6.49,0.55,3.06,3.6,0.58,0.28,0.59,-0.81,3.67,4.31,0.36,4.19,inf,0.11,0.61,0.72,0.51,0.49,3.83,52.54,18.94,16.11,8.93,8.53,4.37,9.32,0.49,-2.72,inf
2022,3.82,3.96,0.43,2.42,2.84,0.45,0.25,0.48,-0.7,2.63,3.09,0.54,4.9,0.09,0.04,0.21,0.25,0.57,0.43,4.84,54.25,18.61,15.83,11.37,10.94,6.21,10.28,0.55,0.65,inf
2023,2.66,5.61,0.61,inf,4.03,0.64,0.35,0.68,-0.99,inf,4.27,0.55,5.02,0.13,0.04,inf,0.25,0.57,0.43,4.84,54.25,inf,15.83,11.37,10.94,6.21,10.28,0.55,0.65,inf
