,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,-2.21,140.51,inf,-5.05,1.77,0.14,-3.21,-0.18,inf,3.04,-0.99,0.02,0.11,-213.86,inf,7.68,0.0,1.0,1.08,-17.99,inf,-35.06,-80.05,inf,-6.4,-48.86,0.08,inf,inf
2015,inf,-1.25,-1.35,inf,-1.8,6.54,0.12,2.91,-0.14,inf,0.08,-1.99,-1.85,-0.01,inf,inf,1.65,-0.09,1.09,1.38,-259.6,inf,-362.47,-522.56,-107.71,-9.22,-634.99,0.02,inf,inf
2016,inf,-11.81,-6.39,-22.13,-16.5,57.05,1.05,9.26,-1.22,-21.24,-15.83,-2.29,-4.22,-0.79,inf,0.24,0.18,-0.16,1.16,4.54,-184.86,-257.8,-345.77,-483.25,-54.17,-8.85,77.34,0.02,255.3,inf
2017,inf,-18.53,7.66,-29.97,-21.36,61.65,1.32,33.33,-1.48,-28.05,-19.99,-2.06,4.98,1.85,0.09,-0.34,-0.24,0.17,0.83,1.59,-163.66,-205.71,-288.66,-332.66,-41.34,-7.12,-25.15,0.02,99.97,inf
2018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-4.53,7.47,inf,0.26,inf,-0.52,0.1,0.9,1.81,-59.22,inf,-94.91,-112.62,-60.7,-6.27,-30.25,0.06,35.34,inf
2019,inf,-21.09,3.04,72.19,-40.77,24.53,1.17,5.3,-1.61,53.16,-30.02,-4.79,33.2,inf,-0.35,-8.32,4.7,0.38,0.62,5.04,-104.6,33.98,-60.17,-116.29,-14.42,-5.53,-6.4,0.05,6.86,inf
2020,inf,-56.28,3.85,40.76,-83.35,22.41,1.41,5.89,-2.04,28.83,-58.97,-1.57,22.89,inf,-0.45,-4.74,9.7,0.37,0.63,4.37,-71.84,54.98,-26.88,-39.81,-6.84,-2.5,-3.93,0.06,42.7,inf
2021,inf,-23.71,2.1,15.52,-44.92,10.52,0.73,2.65,-1.14,8.12,-23.48,-1.87,21.08,inf,-0.62,-4.58,13.24,0.35,0.65,4.5,-80.49,67.8,-23.43,-44.4,-8.86,-3.09,-4.08,0.07,38.5,inf
2022,inf,-10.88,0.84,6.59,-36.85,4.0,0.34,1.15,-0.55,1.23,-6.87,-1.48,19.26,-15.46,-0.61,-4.84,27.08,0.41,0.59,4.75,-53.9,60.62,-10.84,-36.72,-7.68,-3.16,-2.08,0.09,36.54,inf
2023,inf,-11.57,0.89,7.01,-39.16,4.25,0.37,1.22,-0.59,1.71,-9.57,-1.48,19.26,-16.43,-0.61,-4.84,27.08,0.41,0.59,4.75,-53.9,60.62,-10.84,-36.72,-7.68,-3.16,-2.08,0.09,36.54,inf
