,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.22,1.67,inf,-0.05,0.59,0.5,0.5,0.49,2.35,22.08,-16.76,-19.5,-24.84,-13.38,-6.67,-7.73,0.27,-10.42,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.05,1.72,inf,0.01,inf,0.46,0.57,0.41,2.72,28.84,inf,3.58,3.56,2.78,1.59,1.74,0.45,-4.33,-18.14
2016,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.09,1.66,inf,-0.08,inf,-1.0,0.56,0.42,3.44,30.68,inf,8.39,5.38,5.4,3.04,5.56,0.57,18.74,inf
2017,inf,10.12,0.93,inf,8.75,0.8,0.51,1.07,-1.49,inf,6.9,1.98,21.46,0.11,-0.2,inf,-1.84,0.54,0.45,3.48,34.51,inf,9.09,7.86,9.21,5.0,7.36,0.64,4.9,inf
2018,1.59,8.66,1.45,inf,7.9,1.03,0.66,1.3,-2.08,inf,6.48,3.71,22.16,0.1,-0.26,inf,-1.43,0.46,0.54,3.94,34.84,inf,13.05,11.91,16.72,7.64,11.04,0.64,15.51,inf
2019,1.98,11.95,2.33,9.77,10.84,1.62,0.91,1.63,-3.24,9.15,10.15,2.53,12.94,inf,-0.15,-0.62,-0.69,0.39,0.61,4.33,33.23,16.53,14.91,13.51,19.51,7.58,11.5,0.56,27.88,inf
2020,1.63,15.73,2.08,10.69,11.9,1.38,0.74,2.04,-2.13,10.19,11.34,1.92,14.54,inf,-0.1,-0.5,-0.56,0.36,0.64,2.27,31.12,12.91,11.6,8.78,13.2,4.73,8.33,0.54,21.81,45.88
2021,1.06,-9.11,1.45,-38.01,-19.28,0.69,0.39,1.14,-1.07,-45.24,-22.95,-1.84,11.53,inf,0.28,-7.23,-3.67,0.27,0.73,2.2,17.77,-1.81,-3.56,-7.54,-15.91,-4.31,-5.23,0.57,19.26,inf
2022,inf,-0.8,0.61,-1.72,-1.39,0.18,0.11,0.83,-0.21,-4.87,-3.95,-5.25,6.88,0.0,1.13,-3.15,-2.56,0.17,0.83,1.36,11.39,-10.62,-13.09,-22.69,-76.84,-13.26,-16.39,0.58,12.18,inf
2023,inf,-0.91,0.7,-1.95,-1.58,0.21,0.12,0.95,-0.24,-5.1,-4.14,-5.25,6.88,0.0,1.13,-3.15,-2.56,0.17,0.83,1.36,11.39,-10.62,-13.09,-22.69,-76.27,-13.26,-16.39,0.58,12.18,inf
