,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.19,3.22,inf,0.61,-29.81,-9.37,0.5,0.5,0.77,0.35,-3.26,-10.37,-9.59,-6.06,-3.01,-7.18,0.31,17.65,inf
2015,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-0.38,1.9,inf,0.93,-11.71,-6.95,0.43,0.57,0.51,-1.63,-9.34,-15.73,-23.57,-19.98,-8.52,-9.76,0.36,17.02,inf
2016,inf,-1.18,0.18,inf,-1.32,0.22,0.09,-9.05,-0.11,inf,-6.82,-8.5,54.57,0.05,0.76,inf,-5.5,0.47,0.53,0.96,-2.55,inf,-16.56,-18.58,-15.58,-7.25,-8.91,0.39,21.04,inf
2017,inf,36.29,0.27,inf,5.51,0.34,0.12,-5.13,-0.16,inf,21.64,0.41,55.37,-0.35,0.79,inf,16.13,0.45,0.55,0.91,14.4,inf,6.08,0.92,0.74,0.33,-0.06,0.36,-0.33,inf
2018,inf,5.19,0.23,inf,1.6,0.2,0.09,-4.2,-0.13,inf,7.83,2.36,52.47,0.01,0.91,inf,6.23,0.4,0.6,0.93,19.01,inf,12.23,3.78,4.5,1.82,7.04,0.48,9.89,inf
2019,inf,-2.93,0.42,14.63,-15.77,0.41,0.16,-6.77,-0.22,43.57,-46.95,-7.52,52.64,inf,0.83,28.94,-31.18,0.38,0.62,0.93,7.43,2.8,-2.6,-14.02,-14.29,-5.41,-2.38,0.39,4.07,inf
2020,inf,-9.91,0.72,1.85,2.27,0.46,0.19,-6.19,-0.3,5.19,6.35,-2.62,36.23,inf,1.29,3.34,4.09,0.27,0.73,0.92,23.29,24.65,20.14,-4.61,-7.24,-1.95,12.82,0.42,7.32,inf
2021,inf,-13.3,1.62,6.78,10.73,1.01,0.52,-11.1,-0.74,10.98,17.39,-3.61,29.64,0.83,1.01,4.21,6.66,0.32,0.68,0.86,15.86,14.87,9.39,-7.58,-12.18,-3.94,3.93,0.52,7.32,inf
2022,inf,-13.3,1.62,6.78,10.73,1.01,0.52,-11.1,-0.74,10.98,17.39,-3.61,29.64,0.83,1.01,4.21,6.66,0.32,0.68,0.86,15.86,14.87,9.39,-7.58,-12.18,-3.94,3.93,0.52,7.32,inf
2023,inf,-13.3,1.62,6.78,10.73,1.01,0.52,-11.1,-0.74,10.98,17.39,-3.61,29.64,0.83,1.01,4.21,6.66,0.32,0.68,0.86,15.86,14.87,9.39,-7.58,-12.18,-3.94,3.93,0.52,7.32,inf
