,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5
2014,1.62,-45.67,2.9,17.69,7.79,0.73,0.99,2.34,-2.42,22.44,9.88,-0.35,5.49,0.31,0.78,4.75,2.09,0.34,0.66,3.57,16.92,4.12,9.35,-1.6,-6.34,-2.18,13.16,1.37,6.12,inf
2015,1.61,31.24,0.85,4.31,7.03,0.28,0.34,1.29,-0.67,6.39,10.43,0.15,5.54,-0.22,0.41,2.08,3.4,0.4,0.6,2.14,13.19,6.42,3.93,0.88,2.72,1.09,5.88,1.23,-0.78,-38.44
2016,inf,36.71,1.35,8.96,8.96,0.55,0.61,4.06,-1.12,10.7,10.7,0.21,5.68,0.94,0.26,1.74,1.74,0.45,0.55,inf,15.43,6.13,6.13,1.5,3.69,1.67,6.56,1.12,-9.35,-32.32
2017,2.33,12.6,2.91,9.55,12.03,1.21,1.56,7.2,-2.82,10.1,12.71,1.57,6.8,0.02,0.17,0.54,0.68,0.54,0.46,1.94,21.58,12.63,10.03,9.57,23.12,12.38,14.14,1.29,-7.88,4.47
2018,4.16,16.77,3.75,9.93,11.83,1.45,2.24,10.88,-3.85,10.35,12.33,1.64,7.34,3.88,0.16,0.42,0.5,0.6,0.4,1.98,20.58,14.57,12.24,8.63,22.35,13.37,18.21,1.55,-4.49,16.96
2019,4.17,12.81,4.32,9.26,10.24,1.84,2.52,13.78,-4.63,9.82,10.86,2.94,8.71,inf,0.26,0.56,0.62,0.58,0.42,1.67,21.29,19.92,18.01,14.4,33.73,19.68,21.59,1.37,-1.32,inf
2020,1.26,24.18,2.85,14.43,16.76,1.76,1.73,5.71,-3.5,14.38,16.7,1.12,9.46,inf,-0.01,-0.05,-0.06,0.61,0.39,2.52,19.78,12.19,10.49,7.28,11.79,7.17,9.39,0.99,-2.05,49.29
2021,5.03,9.54,1.52,7.36,8.1,1.02,0.99,3.59,-1.92,7.73,8.5,1.64,10.31,inf,0.08,0.37,0.4,0.65,0.35,2.31,18.66,13.92,12.65,10.73,15.88,10.35,12.59,0.96,1.74,50.88
2022,5.79,8.03,1.67,6.01,6.36,0.93,1.15,4.1,-2.29,5.85,6.18,2.41,11.62,0.17,-0.05,-0.16,-0.17,0.69,0.31,2.3,20.04,15.52,14.68,11.62,20.79,14.34,16.58,1.23,4.8,8.95
2023,6.14,7.57,1.57,5.67,5.99,0.88,1.08,3.86,-2.16,5.5,5.82,2.41,11.62,0.16,-0.05,-0.16,-0.17,0.69,0.31,2.3,20.04,15.52,14.68,11.62,20.77,14.34,16.58,1.23,4.8,8.95
